1644516033203	PolyGesture	ExperimentStarted	Raffaele
1644516042608	PolyGesture	InputEvent	TouchEvent (cursorPosition=553): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=629.0, y[0]=145.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90236737, downTime=90236730, deviceId=6, source=0x1002, displayId=0 }
1644516042611	PolyGesture	InputEvent	SelectionChanged 77 77

1644516042621	PolyGesture	InputEvent	BeginBatchEdit

1644516042640	PolyGesture	InputEvent	BeginBatchEdit

1644516042641	PolyGesture	InputEvent	BeginBatchEdit

1644516042655	PolyGesture	InputEvent	BeginBatchEdit

1644516042656	PolyGesture	InputEvent	BeginBatchEdit

1644516042679	PolyGesture	InputEvent	BeginBatchEdit

1644516042686	PolyGesture	InputEvent	BeginBatchEdit

1644516042688	PolyGesture	InputEvent	BeginBatchEdit

1644516042688	PolyGesture	InputEvent	BeginBatchEdit

1644516042689	PolyGesture	InputEvent	BeginBatchEdit

1644516042699	PolyGesture	InputEvent	BeginBatchEdit

1644516042699	PolyGesture	InputEvent	BeginBatchEdit

1644516042700	PolyGesture	InputEvent	BeginBatchEdit

1644516042700	PolyGesture	InputEvent	BeginBatchEdit

1644516044361	PolyGesture	InputEvent	TouchEvent (cursorPosition=77): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=225.0, y[0]=279.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90238483, downTime=90238483, deviceId=6, source=0x1002, displayId=0 }
1644516044427	PolyGesture	InputEvent	TouchEvent (cursorPosition=77): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=225.0, y[0]=279.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90238559, downTime=90238483, deviceId=6, source=0x1002, displayId=0 }
1644516044445	PolyGesture	InputEvent	SelectionChanged 171 171

1644516044447	PolyGesture	InputEvent	BeginBatchEdit

1644516044466	PolyGesture	InputEvent	BeginBatchEdit

1644516044474	PolyGesture	InputEvent	BeginBatchEdit

1644516044475	PolyGesture	InputEvent	BeginBatchEdit

1644516044493	PolyGesture	InputEvent	BeginBatchEdit

1644516044527	PolyGesture	InputEvent	TouchEvent (cursorPosition=171): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=242.0, y[0]=264.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90238650, downTime=90238650, deviceId=6, source=0x1002, displayId=0 }
1644516044533	PolyGesture	InputEvent	SelectionChanged 127 132

1644516044545	PolyGesture	InputEvent	BeginBatchEdit

1644516044546	PolyGesture	InputEvent	BeginBatchEdit

1644516044549	PolyGesture	InputEvent	BeginBatchEdit

1644516044550	PolyGesture	InputEvent	BeginBatchEdit

1644516044551	PolyGesture	InputEvent	BeginBatchEdit

1644516044551	PolyGesture	InputEvent	BeginBatchEdit

1644516044560	PolyGesture	InputEvent	BeginBatchEdit

1644516044561	PolyGesture	InputEvent	BeginBatchEdit

1644516044562	PolyGesture	InputEvent	BeginBatchEdit

1644516044594	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=242.0, y[0]=264.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90238726, downTime=90238650, deviceId=6, source=0x1002, displayId=0 }
1644516044823	PolyGesture	InputEvent	BeginBatchEdit

1644516044824	PolyGesture	InputEvent	BeginBatchEdit

1644516044849	PolyGesture	InputEvent	BeginBatchEdit

1644516045299	PolyGesture	InputEvent	SelectionChanged 127 133

1644516045325	PolyGesture	InputEvent	BeginBatchEdit

1644516045327	PolyGesture	InputEvent	SelectionChanged 127 134

1644516045343	PolyGesture	InputEvent	BeginBatchEdit

1644516045344	PolyGesture	InputEvent	BeginBatchEdit

1644516045346	PolyGesture	InputEvent	BeginBatchEdit

1644516045354	PolyGesture	InputEvent	SelectionChanged 127 135

1644516045365	PolyGesture	InputEvent	BeginBatchEdit

1644516045378	PolyGesture	InputEvent	BeginBatchEdit

1644516045388	PolyGesture	InputEvent	SelectionChanged 127 136

1644516045399	PolyGesture	InputEvent	BeginBatchEdit

1644516045411	PolyGesture	InputEvent	BeginBatchEdit

1644516045444	PolyGesture	InputEvent	SelectionChanged 127 137

1644516045455	PolyGesture	InputEvent	BeginBatchEdit

1644516045467	PolyGesture	InputEvent	BeginBatchEdit

1644516045488	PolyGesture	InputEvent	SelectionChanged 127 183

1644516045499	PolyGesture	InputEvent	BeginBatchEdit

1644516045511	PolyGesture	InputEvent	BeginBatchEdit

1644516045712	PolyGesture	InputEvent	BeginBatchEdit

1644516045989	PolyGesture	InputEvent	SelectionChanged 127 182

1644516046005	PolyGesture	InputEvent	BeginBatchEdit

1644516046015	PolyGesture	InputEvent	BeginBatchEdit

1644516046216	PolyGesture	InputEvent	BeginBatchEdit

1644516046324	PolyGesture	InputEvent	SelectionChanged 127 137

1644516046340	PolyGesture	InputEvent	BeginBatchEdit

1644516046349	PolyGesture	InputEvent	BeginBatchEdit

1644516046550	PolyGesture	InputEvent	BeginBatchEdit

1644516047858	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=474.0, y[0]=275.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90241981, downTime=90241981, deviceId=6, source=0x1002, displayId=0 }
1644516047930	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=474.0, y[0]=275.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90242061, downTime=90241981, deviceId=6, source=0x1002, displayId=0 }
1644516047964	PolyGesture	InputEvent	SelectionChanged 138 138

1644516047990	PolyGesture	InputEvent	BeginBatchEdit

1644516048010	PolyGesture	InputEvent	BeginBatchEdit

1644516048217	PolyGesture	InputEvent	BeginBatchEdit

1644516048218	PolyGesture	InputEvent	BeginBatchEdit

1644516048241	PolyGesture	InputEvent	BeginBatchEdit

1644516049082	PolyGesture	InputEvent	TouchEvent (cursorPosition=138): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=451.0, y[0]=269.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90243213, downTime=90243213, deviceId=6, source=0x1002, displayId=0 }
1644516049158	PolyGesture	InputEvent	TouchEvent (cursorPosition=138): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=451.0, y[0]=269.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90243290, downTime=90243213, deviceId=6, source=0x1002, displayId=0 }
1644516049180	PolyGesture	InputEvent	SelectionChanged 137 137

1644516049205	PolyGesture	InputEvent	BeginBatchEdit

1644516049223	PolyGesture	InputEvent	BeginBatchEdit

1644516049431	PolyGesture	InputEvent	BeginBatchEdit

1644516049433	PolyGesture	InputEvent	BeginBatchEdit

1644516049942	PolyGesture	InputEvent	TouchEvent (cursorPosition=137): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=235.0, y[0]=249.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90244064, downTime=90244064, deviceId=6, source=0x1002, displayId=0 }
1644516050017	PolyGesture	InputEvent	TouchEvent (cursorPosition=137): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=235.0, y[0]=249.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90244149, downTime=90244064, deviceId=6, source=0x1002, displayId=0 }
1644516050036	PolyGesture	InputEvent	SelectionChanged 129 129

1644516050057	PolyGesture	InputEvent	BeginBatchEdit

1644516050083	PolyGesture	InputEvent	BeginBatchEdit

1644516050303	PolyGesture	InputEvent	BeginBatchEdit

1644516050304	PolyGesture	InputEvent	BeginBatchEdit

1644516050324	PolyGesture	InputEvent	BeginBatchEdit

1644516050877	PolyGesture	InputEvent	TouchEvent (cursorPosition=129): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=270.0, y[0]=270.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90245000, downTime=90245000, deviceId=6, source=0x1002, displayId=0 }
1644516050965	PolyGesture	InputEvent	TouchEvent (cursorPosition=129): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=270.0, y[0]=270.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90245097, downTime=90245000, deviceId=6, source=0x1002, displayId=0 }
1644516050995	PolyGesture	InputEvent	SelectionChanged 130 130

1644516051032	PolyGesture	InputEvent	BeginBatchEdit

1644516051046	PolyGesture	InputEvent	TouchEvent (cursorPosition=130): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=298.0, y[0]=266.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90245173, downTime=90245173, deviceId=6, source=0x1002, displayId=0 }
1644516051059	PolyGesture	InputEvent	SelectionChanged 127 132

1644516051072	PolyGesture	InputEvent	BeginBatchEdit

1644516051073	PolyGesture	InputEvent	BeginBatchEdit

1644516051079	PolyGesture	InputEvent	BeginBatchEdit

1644516051118	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=298.0, y[0]=266.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90245250, downTime=90245173, deviceId=6, source=0x1002, displayId=0 }
1644516051298	PolyGesture	InputEvent	BeginBatchEdit

1644516051313	PolyGesture	InputEvent	BeginBatchEdit

1644516051334	PolyGesture	InputEvent	BeginBatchEdit

1644516051846	PolyGesture	InputEvent	SelectionChanged 127 133

1644516051880	PolyGesture	InputEvent	BeginBatchEdit

1644516051881	PolyGesture	InputEvent	SelectionChanged 127 134

1644516051904	PolyGesture	InputEvent	BeginBatchEdit

1644516051905	PolyGesture	InputEvent	BeginBatchEdit

1644516051908	PolyGesture	InputEvent	BeginBatchEdit

1644516051926	PolyGesture	InputEvent	SelectionChanged 127 135

1644516051937	PolyGesture	InputEvent	BeginBatchEdit

1644516051949	PolyGesture	InputEvent	BeginBatchEdit

1644516051970	PolyGesture	InputEvent	SelectionChanged 127 136

1644516051981	PolyGesture	InputEvent	BeginBatchEdit

1644516051994	PolyGesture	InputEvent	BeginBatchEdit

1644516052026	PolyGesture	InputEvent	SelectionChanged 127 137

1644516052038	PolyGesture	InputEvent	BeginBatchEdit

1644516052050	PolyGesture	InputEvent	BeginBatchEdit

1644516052250	PolyGesture	InputEvent	BeginBatchEdit

1644516052338	PolyGesture	InputEvent	SelectionChanged 127 138

1644516052356	PolyGesture	InputEvent	BeginBatchEdit

1644516052367	PolyGesture	InputEvent	BeginBatchEdit

1644516052568	PolyGesture	InputEvent	BeginBatchEdit

1644516053416	PolyGesture	InputEvent	BeginBatchEdit

1644516053440	PolyGesture	InputEvent	SelectionChanged 138 138

1644516053456	PolyGesture	InputEvent	SelectionChanged 0 0

1644516053459	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 542 542

1644516053464	PolyGesture	InputEvent	SelectionChanged 127 127

1644516053465	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 127 11 0

1644516053472	PolyGesture	InputEvent	SelectionChanged 127 127

1644516053481	PolyGesture	InputEvent	BeginBatchEdit

1644516053487	PolyGesture	InputEvent	BeginBatchEdit

1644516053488	PolyGesture	InputEvent	BeginBatchEdit

1644516053493	PolyGesture	InputEvent	BeginBatchEdit

1644516053496	PolyGesture	InputEvent	BeginBatchEdit

1644516053499	PolyGesture	InputEvent	BeginBatchEdit

1644516053504	PolyGesture	InputEvent	BeginBatchEdit

1644516053705	PolyGesture	InputEvent	BeginBatchEdit

1644516054016	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=617.0, y[0]=486.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90248139, downTime=90248139, deviceId=6, source=0x1002, displayId=0 }
1644516054113	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=617.0, y[0]=486.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90248245, downTime=90248139, deviceId=6, source=0x1002, displayId=0 }
1644516054117	PolyGesture	InputEvent	SelectionChanged 295 295

1644516054128	PolyGesture	InputEvent	BeginBatchEdit

1644516054147	PolyGesture	InputEvent	BeginBatchEdit

1644516054371	PolyGesture	InputEvent	BeginBatchEdit

1644516054372	PolyGesture	InputEvent	BeginBatchEdit

1644516054388	PolyGesture	InputEvent	BeginBatchEdit

1644516054869	PolyGesture	InputEvent	BeginBatchEdit

1644516054903	PolyGesture	InputEvent	SelectionChanged 0 0

1644516054905	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXX XXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 543 543

1644516054911	PolyGesture	InputEvent	SelectionChanged 296 296

1644516054912	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXX XXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 295 0 1

1644516054917	PolyGesture	InputEvent	SelectionChanged 296 296

1644516054917	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=674.0, y[0]=484.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90249032, downTime=90249032, deviceId=6, source=0x1002, displayId=0 }
1644516054921	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_POINTER_DOWN(1), actionButton=0, id[0]=0, x[0]=674.0, y[0]=484.0, toolType[0]=TOOL_TYPE_FINGER, id[1]=1, x[1]=417.0, y[1]=2111.0, toolType[1]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=2, historySize=0, eventTime=90249040, downTime=90249032, deviceId=6, source=0x1002, displayId=0 }
1644516054924	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_POINTER_UP(1), actionButton=0, id[0]=0, x[0]=674.0, y[0]=484.0, toolType[0]=TOOL_TYPE_FINGER, id[1]=1, x[1]=417.0, y[1]=2111.0, toolType[1]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=2, historySize=0, eventTime=90249053, downTime=90249032, deviceId=6, source=0x1002, displayId=0 }
1644516054938	PolyGesture	InputEvent	BeginBatchEdit

1644516054940	PolyGesture	InputEvent	BeginBatchEdit

1644516054940	PolyGesture	InputEvent	BeginBatchEdit

1644516054941	PolyGesture	InputEvent	BeginBatchEdit

1644516054952	PolyGesture	InputEvent	BeginBatchEdit

1644516054952	PolyGesture	InputEvent	BeginBatchEdit

1644516054953	PolyGesture	InputEvent	BeginBatchEdit

1644516054953	PolyGesture	InputEvent	BeginBatchEdit

1644516054963	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_POINTER_DOWN(1), actionButton=0, id[0]=0, x[0]=674.0, y[0]=484.0, toolType[0]=TOOL_TYPE_FINGER, id[1]=1, x[1]=430.0, y[1]=2113.0, toolType[1]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=2, historySize=0, eventTime=90249095, downTime=90249032, deviceId=6, source=0x1002, displayId=0 }
1644516054967	PolyGesture	InputEvent	BeginBatchEdit

1644516054967	PolyGesture	InputEvent	BeginBatchEdit

1644516054979	PolyGesture	InputEvent	BeginBatchEdit

1644516054980	PolyGesture	InputEvent	BeginBatchEdit

1644516054981	PolyGesture	InputEvent	BeginBatchEdit

1644516054981	PolyGesture	InputEvent	BeginBatchEdit

1644516054982	PolyGesture	InputEvent	BeginBatchEdit

1644516054982	PolyGesture	InputEvent	BeginBatchEdit

1644516054984	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_POINTER_UP(0), actionButton=0, id[0]=0, x[0]=674.0, y[0]=484.0, toolType[0]=TOOL_TYPE_FINGER, id[1]=1, x[1]=430.0, y[1]=2113.0, toolType[1]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=2, historySize=0, eventTime=90249116, downTime=90249032, deviceId=6, source=0x1002, displayId=0 }
1644516054988	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=1, x[0]=430.0, y[0]=2113.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90249116, downTime=90249032, deviceId=6, source=0x1002, displayId=0 }
1644516054998	PolyGesture	InputEvent	BeginBatchEdit

1644516054998	PolyGesture	InputEvent	BeginBatchEdit

1644516055007	PolyGesture	InputEvent	BeginBatchEdit

1644516055007	PolyGesture	InputEvent	BeginBatchEdit

1644516055201	PolyGesture	InputEvent	BeginBatchEdit

1644516055203	PolyGesture	InputEvent	BeginBatchEdit

1644516055222	PolyGesture	InputEvent	SelectionChanged 296 535

1644516055241	PolyGesture	InputEvent	BeginBatchEdit

1644516055242	PolyGesture	InputEvent	BeginBatchEdit

1644516055444	PolyGesture	InputEvent	BeginBatchEdit

1644516055446	PolyGesture	InputEvent	BeginBatchEdit

1644516055470	PolyGesture	InputEvent	BeginBatchEdit

1644516056036	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=532.0, y[0]=478.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90250159, downTime=90250159, deviceId=6, source=0x1002, displayId=0 }
1644516056105	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=532.0, y[0]=478.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90250237, downTime=90250159, deviceId=6, source=0x1002, displayId=0 }
1644516056249	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=558.0, y[0]=472.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90250334, downTime=90250334, deviceId=6, source=0x1002, displayId=0 }
1644516056292	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=558.0, y[0]=472.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90250424, downTime=90250334, deviceId=6, source=0x1002, displayId=0 }
1644516056416	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=572.0, y[0]=482.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90250501, downTime=90250501, deviceId=6, source=0x1002, displayId=0 }
1644516056462	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=572.0, y[0]=482.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90250570, downTime=90250501, deviceId=6, source=0x1002, displayId=0 }
1644516056490	PolyGesture	InputEvent	SelectionChanged 294 294

1644516056511	PolyGesture	InputEvent	BeginBatchEdit

1644516056541	PolyGesture	InputEvent	BeginBatchEdit

1644516056736	PolyGesture	InputEvent	BeginBatchEdit

1644516056738	PolyGesture	InputEvent	BeginBatchEdit

1644516056760	PolyGesture	InputEvent	BeginBatchEdit

1644516057238	PolyGesture	InputEvent	TouchEvent (cursorPosition=294): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=457.0, y[0]=497.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90251362, downTime=90251362, deviceId=6, source=0x1002, displayId=0 }
1644516057318	PolyGesture	InputEvent	TouchEvent (cursorPosition=294): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=457.0, y[0]=497.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90251449, downTime=90251362, deviceId=6, source=0x1002, displayId=0 }
1644516057336	PolyGesture	InputEvent	SelectionChanged 325 325

1644516057358	PolyGesture	InputEvent	BeginBatchEdit

1644516057380	PolyGesture	InputEvent	BeginBatchEdit

1644516057418	PolyGesture	InputEvent	TouchEvent (cursorPosition=325): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=467.0, y[0]=483.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90251547, downTime=90251547, deviceId=6, source=0x1002, displayId=0 }
1644516057436	PolyGesture	InputEvent	SelectionChanged 287 291

1644516057449	PolyGesture	InputEvent	BeginBatchEdit

1644516057451	PolyGesture	InputEvent	BeginBatchEdit

1644516057478	PolyGesture	InputEvent	TouchEvent (cursorPosition=287): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=467.0, y[0]=483.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90251610, downTime=90251547, deviceId=6, source=0x1002, displayId=0 }
1644516057691	PolyGesture	InputEvent	BeginBatchEdit

1644516057691	PolyGesture	InputEvent	BeginBatchEdit

1644516057717	PolyGesture	InputEvent	BeginBatchEdit

1644516058086	PolyGesture	InputEvent	SelectionChanged 287 292

