1647345523803	PolyGesture	ExperimentStarted	Raffaele bis
1647345542685	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=361.0, y[0]=174.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427210892, downTime=427210892, deviceId=6, source=0x1002, displayId=0 }
1647345542722	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=361.0, y[0]=174.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427210938, downTime=427210892, deviceId=6, source=0x1002, displayId=0 }
1647345542729	PolyGesture	InputEvent	SelectionChanged 132 132

1647345542752	PolyGesture	InputEvent	BeginBatchEdit

1647345542787	PolyGesture	InputEvent	BeginBatchEdit

1647345542979	PolyGesture	InputEvent	BeginBatchEdit

1647345543893	PolyGesture	InputEvent	BeginBatchEdit

1647345543909	PolyGesture	InputEvent	SelectionChanged 0 0

1647345543911	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647345543919	PolyGesture	InputEvent	SelectionChanged 131 131

1647345543920	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647345543923	PolyGesture	InputEvent	SelectionChanged 131 131

1647345543933	PolyGesture	InputEvent	BeginBatchEdit

1647345543938	PolyGesture	InputEvent	BeginBatchEdit

1647345543939	PolyGesture	InputEvent	BeginBatchEdit

1647345543947	PolyGesture	InputEvent	BeginBatchEdit

1647345543950	PolyGesture	InputEvent	BeginBatchEdit

1647345543956	PolyGesture	InputEvent	BeginBatchEdit

1647345543958	PolyGesture	InputEvent	BeginBatchEdit

1647345544160	PolyGesture	InputEvent	BeginBatchEdit

1647345544778	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=753.0, y[0]=298.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427212984, downTime=427212984, deviceId=6, source=0x1002, displayId=0 }
1647345544815	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=753.0, y[0]=298.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427213031, downTime=427212984, deviceId=6, source=0x1002, displayId=0 }
1647345544823	PolyGesture	InputEvent	SelectionChanged 313 313

1647345544846	PolyGesture	InputEvent	BeginBatchEdit

1647345544880	PolyGesture	InputEvent	BeginBatchEdit

1647345545072	PolyGesture	InputEvent	BeginBatchEdit

1647345547376	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=737.0, y[0]=309.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427215583, downTime=427215583, deviceId=6, source=0x1002, displayId=0 }
1647345547408	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=737.0, y[0]=309.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427215623, downTime=427215583, deviceId=6, source=0x1002, displayId=0 }
1647345547423	PolyGesture	InputEvent	SelectionChanged 312 312

1647345547453	PolyGesture	InputEvent	BeginBatchEdit

1647345547487	PolyGesture	InputEvent	BeginBatchEdit

1647345547679	PolyGesture	InputEvent	BeginBatchEdit

1647345548628	PolyGesture	InputEvent	BeginBatchEdit

1647345548643	PolyGesture	InputEvent	SelectionChanged 0 0

1647345548646	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647345548654	PolyGesture	InputEvent	SelectionChanged 311 311

1647345548655	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647345548659	PolyGesture	InputEvent	SelectionChanged 311 311

1647345548670	PolyGesture	InputEvent	BeginBatchEdit

1647345548677	PolyGesture	InputEvent	BeginBatchEdit

1647345548677	PolyGesture	InputEvent	BeginBatchEdit

1647345548695	PolyGesture	InputEvent	BeginBatchEdit

1647345548698	PolyGesture	InputEvent	BeginBatchEdit

1647345548701	PolyGesture	InputEvent	BeginBatchEdit

1647345548703	PolyGesture	InputEvent	BeginBatchEdit

1647345548906	PolyGesture	InputEvent	BeginBatchEdit

1647345549464	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=942.0, y[0]=394.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427217678, downTime=427217678, deviceId=6, source=0x1002, displayId=0 }
1647345549514	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=942.0, y[0]=394.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427217730, downTime=427217678, deviceId=6, source=0x1002, displayId=0 }
1647345549520	PolyGesture	InputEvent	SelectionChanged 436 436

1647345549540	PolyGesture	InputEvent	BeginBatchEdit

1647345549568	PolyGesture	InputEvent	BeginBatchEdit

1647345549771	PolyGesture	InputEvent	BeginBatchEdit

1647345550592	PolyGesture	InputEvent	BeginBatchEdit

1647345550610	PolyGesture	InputEvent	SelectionChanged 0 0

1647345550613	PolyGesture	TaskCompleted	Cancella carattere in 20"328 seconds (at 427218829, effective time: 12"209)

***************************************


1647345550621	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647345550629	PolyGesture	InputEvent	SelectionChanged 435 435

1647345550630	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647345550634	PolyGesture	InputEvent	SelectionChanged 435 435

1647345550642	PolyGesture	InputEvent	BeginBatchEdit

1647345550685	PolyGesture	InputEvent	BeginBatchEdit

1647345550685	PolyGesture	InputEvent	BeginBatchEdit

1647345550686	PolyGesture	InputEvent	BeginBatchEdit

1647345550688	PolyGesture	InputEvent	BeginBatchEdit

1647345550692	PolyGesture	InputEvent	BeginBatchEdit

1647345550698	PolyGesture	InputEvent	BeginBatchEdit

1647345550900	PolyGesture	InputEvent	BeginBatchEdit

1647345551921	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=75.0, y[0]=1260.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427220136, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345551932	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=95.57871, y[0]=1254.8553, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=1, eventTime=427220149, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345551954	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=144.37363, y[0]=1245.4493, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=2, eventTime=427220165, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345551960	PolyGesture	InputEvent	SelectionChanged 501 501

1647345551989	PolyGesture	InputEvent	BeginBatchEdit

1647345551991	PolyGesture	InputEvent	TouchEvent (cursorPosition=501): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=294.95953, y[0]=1221.5067, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=5, eventTime=427220198, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345551996	PolyGesture	InputEvent	SelectionChanged 509 509

1647345552050	PolyGesture	InputEvent	TouchEvent (cursorPosition=509): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=680.23834, y[0]=1170.7076, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=8, eventTime=427220254, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345552054	PolyGesture	InputEvent	SelectionChanged 513 513

1647345552066	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=865.9592, y[0]=1159.3807, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=3, eventTime=427220276, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345552071	PolyGesture	InputEvent	BeginBatchEdit

1647345552071	PolyGesture	InputEvent	BeginBatchEdit

1647345552073	PolyGesture	InputEvent	BeginBatchEdit

1647345552076	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=955.6058, y[0]=1158.902, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=1, eventTime=427220288, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345552087	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1030.522, y[0]=1159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=2, eventTime=427220299, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345552099	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1083.0858, y[0]=1159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=2, eventTime=427220310, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345552105	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=1079.0, y[0]=1159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427220315, downTime=427220136, deviceId=6, source=0x1002, displayId=0 }
1647345552275	PolyGesture	InputEvent	BeginBatchEdit

1647345553458	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=427221670, downTime=427221670, deviceId=-1, source=0x101, displayId=0 }

1647345553461	PolyGesture	InputEvent	BeginBatchEdit

1647345553505	PolyGesture	InputEvent	WindowFocusChanged false

1647345553544	PolyGesture	InputEvent	BeginBatchEdit

1647345553544	PolyGesture	InputEvent	BeginBatchEdit

1647345554860	PolyGesture	InputEvent	SelectionChanged 0 0

1647345554861	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647345554864	PolyGesture	InputEvent	SelectionChanged 0 0

1647345554865	PolyGesture	InputEvent	SelectionChanged 0 0

1647345554865	PolyGesture	TaskStarted	Cancella parola

1647345554866	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647345554870	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647345554873	PolyGesture	InputEvent	SelectionChanged 534 534

1647345554889	PolyGesture	InputEvent	FocusChanged true 130 null

1647345554912	PolyGesture	InputEvent	WindowFocusChanged true

1647345554918	PolyGesture	InputEvent	BeginBatchEdit

1647345554918	PolyGesture	InputEvent	BeginBatchEdit

1647345556229	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=829.0, y[0]=139.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427224421, downTime=427224421, deviceId=6, source=0x1002, displayId=0 }
1647345556525	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=829.0, y[0]=139.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427224741, downTime=427224421, deviceId=6, source=0x1002, displayId=0 }
1647345556533	PolyGesture	InputEvent	SelectionChanged 106 106

1647345556563	PolyGesture	InputEvent	BeginBatchEdit

1647345556597	PolyGesture	InputEvent	BeginBatchEdit

1647345556609	PolyGesture	InputEvent	BeginBatchEdit

1647345556620	PolyGesture	InputEvent	BeginBatchEdit

1647345556654	PolyGesture	InputEvent	BeginBatchEdit

1647345556855	PolyGesture	InputEvent	BeginBatchEdit

1647345557241	PolyGesture	InputEvent	TouchEvent (cursorPosition=106): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=863.0, y[0]=147.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427225447, downTime=427225447, deviceId=6, source=0x1002, displayId=0 }
1647345557554	PolyGesture	InputEvent	SelectionChanged 103 109

1647345557572	PolyGesture	InputEvent	BeginBatchEdit

1647345557577	PolyGesture	InputEvent	BeginBatchEdit

1647345557766	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=863.0, y[0]=147.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427225982, downTime=427225447, deviceId=6, source=0x1002, displayId=0 }
1647345557776	PolyGesture	InputEvent	BeginBatchEdit

1647345559549	PolyGesture	InputEvent	BeginBatchEdit

1647345559577	PolyGesture	InputEvent	SelectionChanged 109 109

1647345559595	PolyGesture	InputEvent	SelectionChanged 0 0

1647345559598	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1647345559605	PolyGesture	InputEvent	SelectionChanged 103 103

1647345559607	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1647345559610	PolyGesture	InputEvent	SelectionChanged 103 103

1647345559620	PolyGesture	InputEvent	BeginBatchEdit

1647345559626	PolyGesture	InputEvent	BeginBatchEdit

1647345559627	PolyGesture	InputEvent	BeginBatchEdit

1647345559634	PolyGesture	InputEvent	BeginBatchEdit

1647345559636	PolyGesture	InputEvent	BeginBatchEdit

1647345559638	PolyGesture	InputEvent	BeginBatchEdit

1647345559641	PolyGesture	InputEvent	BeginBatchEdit

1647345559843	PolyGesture	InputEvent	BeginBatchEdit

1647345560395	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=671.0, y[0]=276.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427228601, downTime=427228601, deviceId=6, source=0x1002, displayId=0 }
1647345560702	PolyGesture	InputEvent	SelectionChanged 257 263

1647345560717	PolyGesture	InputEvent	BeginBatchEdit

1647345560721	PolyGesture	InputEvent	BeginBatchEdit

1647345560866	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=671.0, y[0]=276.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427229082, downTime=427228601, deviceId=6, source=0x1002, displayId=0 }
1647345561014	PolyGesture	InputEvent	BeginBatchEdit

1647345562286	PolyGesture	InputEvent	BeginBatchEdit

1647345562310	PolyGesture	InputEvent	SelectionChanged 263 263

1647345562324	PolyGesture	InputEvent	SelectionChanged 0 0

1647345562327	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1647345562334	PolyGesture	InputEvent	SelectionChanged 257 257

1647345562335	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1647345562339	PolyGesture	InputEvent	SelectionChanged 257 257

1647345562349	PolyGesture	InputEvent	BeginBatchEdit

1647345562354	PolyGesture	InputEvent	BeginBatchEdit

1647345562355	PolyGesture	InputEvent	BeginBatchEdit

1647345562362	PolyGesture	InputEvent	BeginBatchEdit

1647345562365	PolyGesture	InputEvent	BeginBatchEdit

1647345562367	PolyGesture	InputEvent	BeginBatchEdit

1647345562370	PolyGesture	InputEvent	BeginBatchEdit

1647345562571	PolyGesture	InputEvent	BeginBatchEdit

1647345563154	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=131.0, y[0]=427.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427231367, downTime=427231367, deviceId=6, source=0x1002, displayId=0 }
1647345563450	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=131.0, y[0]=427.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427231665, downTime=427231367, deviceId=6, source=0x1002, displayId=0 }
1647345563458	PolyGesture	InputEvent	SelectionChanged 444 444

1647345563488	PolyGesture	InputEvent	BeginBatchEdit

1647345563526	PolyGesture	InputEvent	BeginBatchEdit

1647345563733	PolyGesture	InputEvent	BeginBatchEdit

1647345564235	PolyGesture	InputEvent	TouchEvent (cursorPosition=444): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=151.0, y[0]=432.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427232449, downTime=427232449, deviceId=6, source=0x1002, displayId=0 }
1647345564552	PolyGesture	InputEvent	SelectionChanged 441 447

1647345564567	PolyGesture	InputEvent	BeginBatchEdit

1647345564571	PolyGesture	InputEvent	BeginBatchEdit

