1643970999411	PolyGesture	ExperimentStarted	Francesca
1643971018387	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1643971018392	PolyGesture	InputEvent	SelectionChanged 311 311

1643971018393	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1643971018398	PolyGesture	InputEvent	SelectionChanged 311 311

1643971018414	PolyGesture	InputEvent	BeginBatchEdit

1643971018416	PolyGesture	InputEvent	BeginBatchEdit

1643971018417	PolyGesture	InputEvent	BeginBatchEdit

1643971018418	PolyGesture	InputEvent	BeginBatchEdit

1643971018432	PolyGesture	InputEvent	BeginBatchEdit

1643971018432	PolyGesture	InputEvent	BeginBatchEdit

1643971018433	PolyGesture	InputEvent	BeginBatchEdit

1643971018434	PolyGesture	InputEvent	BeginBatchEdit

1643971018465	PolyGesture	InputEvent	BeginBatchEdit

1643971018465	PolyGesture	InputEvent	BeginBatchEdit

1643971018467	PolyGesture	InputEvent	BeginBatchEdit

1643971018468	PolyGesture	InputEvent	BeginBatchEdit

1643971018470	PolyGesture	InputEvent	BeginBatchEdit

1643971018470	PolyGesture	InputEvent	BeginBatchEdit

1643971018471	PolyGesture	InputEvent	BeginBatchEdit

1643971018471	PolyGesture	InputEvent	BeginBatchEdit

1643971018489	PolyGesture	InputEvent	BeginBatchEdit

1643971018490	PolyGesture	InputEvent	BeginBatchEdit

1643971018512	PolyGesture	InputEvent	BeginBatchEdit

1643971018512	PolyGesture	InputEvent	BeginBatchEdit

1643971018693	PolyGesture	InputEvent	BeginBatchEdit

1643971018694	PolyGesture	InputEvent	BeginBatchEdit

1643971020079	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=153.0, y[0]=994.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82223859, downTime=82223859, deviceId=6, source=0x1002, displayId=0 }
1643971020141	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=153.0, y[0]=994.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82223921, downTime=82223859, deviceId=6, source=0x1002, displayId=0 }
1643971020151	PolyGesture	InputEvent	SelectionChanged 436 436

1643971020185	PolyGesture	InputEvent	BeginBatchEdit

1643971020213	PolyGesture	InputEvent	BeginBatchEdit

1643971020414	PolyGesture	InputEvent	BeginBatchEdit

1643971020416	PolyGesture	InputEvent	BeginBatchEdit

1643971020448	PolyGesture	InputEvent	BeginBatchEdit

1643971020869	PolyGesture	InputEvent	BeginBatchEdit

1643971020893	PolyGesture	InputEvent	SelectionChanged 0 0

1643971020894	PolyGesture	TaskCompleted	Cancella carattere in 13"839 seconds (at 82224675, effective time: 8"899)

***************************************


1643971020903	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1643971020908	PolyGesture	InputEvent	SelectionChanged 435 435

1643971020908	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1643971020912	PolyGesture	InputEvent	SelectionChanged 435 435

1643971020924	PolyGesture	InputEvent	BeginBatchEdit

1643971020948	PolyGesture	InputEvent	BeginBatchEdit

1643971020949	PolyGesture	InputEvent	BeginBatchEdit

1643971020952	PolyGesture	InputEvent	BeginBatchEdit

1643971020972	PolyGesture	InputEvent	BeginBatchEdit

1643971020975	PolyGesture	InputEvent	BeginBatchEdit

1643971020976	PolyGesture	InputEvent	BeginBatchEdit

1643971020978	PolyGesture	InputEvent	BeginBatchEdit

1643971020979	PolyGesture	InputEvent	BeginBatchEdit

1643971020980	PolyGesture	InputEvent	BeginBatchEdit

1643971020981	PolyGesture	InputEvent	BeginBatchEdit

1643971020995	PolyGesture	InputEvent	BeginBatchEdit

1643971021184	PolyGesture	InputEvent	BeginBatchEdit

1643971021185	PolyGesture	InputEvent	BeginBatchEdit

1643971021583	PolyGesture	InputEvent	BeginBatchEdit

1643971021602	PolyGesture	InputEvent	BeginBatchEdit

1643971022180	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=82225958, downTime=82225958, deviceId=-1, source=0x101, displayId=0 }

1643971022183	PolyGesture	InputEvent	BeginBatchEdit

1643971022226	PolyGesture	InputEvent	WindowFocusChanged false

1643971022260	PolyGesture	InputEvent	BeginBatchEdit

1643971022260	PolyGesture	InputEvent	BeginBatchEdit

1643971023347	PolyGesture	InputEvent	SelectionChanged 0 0

1643971023347	PolyGesture	InputEvent	TextChanged '' 0 0 0

1643971023407	PolyGesture	InputEvent	SelectionChanged 0 0

1643971023407	PolyGesture	InputEvent	SelectionChanged 0 0

1643971023408	PolyGesture	TaskStarted	Cancella parola

1643971023408	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1643971023412	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1643971023414	PolyGesture	InputEvent	SelectionChanged 534 534

1643971023429	PolyGesture	InputEvent	FocusChanged true 130 null

1643971023452	PolyGesture	InputEvent	WindowFocusChanged true

1643971024383	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=292.0, y[0]=277.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82228152, downTime=82228152, deviceId=6, source=0x1002, displayId=0 }
1643971024427	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=292.0, y[0]=277.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82228207, downTime=82228152, deviceId=6, source=0x1002, displayId=0 }
1643971024432	PolyGesture	InputEvent	SelectionChanged 109 109

1643971024462	PolyGesture	InputEvent	BeginBatchEdit

1643971024462	PolyGesture	InputEvent	BeginBatchEdit

1643971024463	PolyGesture	InputEvent	BeginBatchEdit

1643971024470	PolyGesture	InputEvent	BeginBatchEdit

1643971024680	PolyGesture	InputEvent	BeginBatchEdit

1643971024682	PolyGesture	InputEvent	BeginBatchEdit

1643971024715	PolyGesture	InputEvent	BeginBatchEdit

1643971026574	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=101.0, y[0]=265.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82230352, downTime=82230352, deviceId=6, source=0x1002, displayId=0 }
1643971026582	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=101.0, y[0]=265.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82230355, downTime=82230352, deviceId=6, source=0x1002, displayId=0 }
1643971026599	PolyGesture	InputEvent	SelectionChanged 104 104

1643971026601	PolyGesture	InputEvent	SelectionChanged 109 104

1643971026618	PolyGesture	InputEvent	BeginBatchEdit

1643971026621	PolyGesture	InputEvent	BeginBatchEdit

1643971026621	PolyGesture	InputEvent	BeginBatchEdit

1643971026623	PolyGesture	InputEvent	BeginBatchEdit

1643971026825	PolyGesture	InputEvent	BeginBatchEdit

1643971026827	PolyGesture	InputEvent	BeginBatchEdit

1643971026852	PolyGesture	InputEvent	BeginBatchEdit

1643971027155	PolyGesture	InputEvent	SelectionChanged 109 103

1643971027180	PolyGesture	InputEvent	BeginBatchEdit

1643971027184	PolyGesture	InputEvent	BeginBatchEdit

1643971027385	PolyGesture	InputEvent	BeginBatchEdit

1643971027934	PolyGesture	InputEvent	BeginBatchEdit

1643971027937	PolyGesture	InputEvent	SelectionChanged 109 109

1643971027959	PolyGesture	InputEvent	SelectionChanged 0 0

1643971027960	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1643971027964	PolyGesture	InputEvent	SelectionChanged 103 103

1643971027965	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1643971027969	PolyGesture	InputEvent	SelectionChanged 103 103

1643971027982	PolyGesture	InputEvent	BeginBatchEdit

1643971027986	PolyGesture	InputEvent	BeginBatchEdit

1643971027986	PolyGesture	InputEvent	BeginBatchEdit

1643971027996	PolyGesture	InputEvent	BeginBatchEdit

1643971027997	PolyGesture	InputEvent	BeginBatchEdit

1643971027998	PolyGesture	InputEvent	BeginBatchEdit

1643971028000	PolyGesture	InputEvent	BeginBatchEdit

1643971028200	PolyGesture	InputEvent	BeginBatchEdit

1643971029252	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=983.0, y[0]=549.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82233030, downTime=82233030, deviceId=6, source=0x1002, displayId=0 }
1643971029281	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=983.0, y[0]=549.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82233062, downTime=82233030, deviceId=6, source=0x1002, displayId=0 }
1643971029294	PolyGesture	InputEvent	SelectionChanged 263 263

1643971029326	PolyGesture	InputEvent	BeginBatchEdit

1643971029349	PolyGesture	InputEvent	BeginBatchEdit

1643971029559	PolyGesture	InputEvent	BeginBatchEdit

1643971029561	PolyGesture	InputEvent	BeginBatchEdit

1643971029588	PolyGesture	InputEvent	BeginBatchEdit

1643971030234	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=775.0, y[0]=552.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82234006, downTime=82234006, deviceId=6, source=0x1002, displayId=0 }
1643971030280	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=775.0, y[0]=552.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82234061, downTime=82234006, deviceId=6, source=0x1002, displayId=0 }
1643971030299	PolyGesture	InputEvent	SelectionChanged 257 257

1643971030301	PolyGesture	InputEvent	SelectionChanged 263 257

1643971030319	PolyGesture	InputEvent	BeginBatchEdit

1643971030322	PolyGesture	InputEvent	BeginBatchEdit

1643971030323	PolyGesture	InputEvent	BeginBatchEdit

1643971030325	PolyGesture	InputEvent	BeginBatchEdit

1643971030528	PolyGesture	InputEvent	BeginBatchEdit

1643971030529	PolyGesture	InputEvent	BeginBatchEdit

1643971030560	PolyGesture	InputEvent	BeginBatchEdit

1643971031097	PolyGesture	InputEvent	BeginBatchEdit

1643971031098	PolyGesture	InputEvent	SelectionChanged 263 263

1643971031104	PolyGesture	InputEvent	SelectionChanged 0 0

1643971031106	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1643971031112	PolyGesture	InputEvent	SelectionChanged 257 257

1643971031113	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1643971031119	PolyGesture	InputEvent	SelectionChanged 257 257

1643971031135	PolyGesture	InputEvent	BeginBatchEdit

1643971031150	PolyGesture	InputEvent	BeginBatchEdit

1643971031155	PolyGesture	InputEvent	BeginBatchEdit

1643971031158	PolyGesture	InputEvent	BeginBatchEdit

1643971031160	PolyGesture	InputEvent	BeginBatchEdit

1643971031163	PolyGesture	InputEvent	BeginBatchEdit

1643971031167	PolyGesture	InputEvent	BeginBatchEdit

1643971031368	PolyGesture	InputEvent	BeginBatchEdit

1643971033010	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=427.0, y[0]=994.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82236777, downTime=82236777, deviceId=6, source=0x1002, displayId=0 }
1643971033051	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=427.0, y[0]=994.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82236831, downTime=82236777, deviceId=6, source=0x1002, displayId=0 }
1643971033060	PolyGesture	InputEvent	SelectionChanged 447 447

1643971033089	PolyGesture	InputEvent	BeginBatchEdit

1643971033106	PolyGesture	InputEvent	BeginBatchEdit

1643971033313	PolyGesture	InputEvent	BeginBatchEdit

1643971033314	PolyGesture	InputEvent	BeginBatchEdit

1643971033345	PolyGesture	InputEvent	BeginBatchEdit

1643971034219	PolyGesture	InputEvent	TouchEvent (cursorPosition=447): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=209.0, y[0]=985.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82237991, downTime=82237991, deviceId=6, source=0x1002, displayId=0 }
1643971034258	PolyGesture	InputEvent	TouchEvent (cursorPosition=447): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=209.0, y[0]=985.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82238038, downTime=82237991, deviceId=6, source=0x1002, displayId=0 }
1643971034279	PolyGesture	InputEvent	SelectionChanged 442 442

1643971034282	PolyGesture	InputEvent	SelectionChanged 447 442

1643971034297	PolyGesture	InputEvent	BeginBatchEdit

1643971034299	PolyGesture	InputEvent	BeginBatchEdit

1643971034299	PolyGesture	InputEvent	BeginBatchEdit

1643971034301	PolyGesture	InputEvent	BeginBatchEdit

1643971034505	PolyGesture	InputEvent	BeginBatchEdit

1643971034507	PolyGesture	InputEvent	BeginBatchEdit

1643971034534	PolyGesture	InputEvent	BeginBatchEdit

1643971035132	PolyGesture	InputEvent	SelectionChanged 447 441

1643971035153	PolyGesture	InputEvent	BeginBatchEdit

1643971035156	PolyGesture	InputEvent	BeginBatchEdit

1643971035359	PolyGesture	InputEvent	BeginBatchEdit

1643971035934	PolyGesture	InputEvent	BeginBatchEdit

1643971035936	PolyGesture	InputEvent	SelectionChanged 447 447

1643971035947	PolyGesture	InputEvent	SelectionChanged 0 0

1643971035949	PolyGesture	TaskCompleted	Cancella parola in 12"541 seconds (at 82239730, effective time: 11"578)

***************************************


