1644515118499	PolyGesture	ExperimentStarted	Asia
1644515120786	PolyGesture	InputEvent	BeginBatchEdit

1644515120829	PolyGesture	InputEvent	BeginBatchEdit

1644515120854	PolyGesture	InputEvent	BeginBatchEdit

1644515120897	PolyGesture	InputEvent	BeginBatchEdit

1644515120898	PolyGesture	InputEvent	BeginBatchEdit

1644515120900	PolyGesture	InputEvent	BeginBatchEdit

1644515120910	PolyGesture	InputEvent	BeginBatchEdit

1644515121078	PolyGesture	InputEvent	BeginBatchEdit

1644515121080	PolyGesture	InputEvent	BeginBatchEdit

1644515121869	PolyGesture	InputEvent	SelectionChanged 82 82

1644515121878	PolyGesture	InputEvent	BeginBatchEdit

1644515121893	PolyGesture	InputEvent	BeginBatchEdit

1644515122094	PolyGesture	InputEvent	BeginBatchEdit

1644515122096	PolyGesture	InputEvent	BeginBatchEdit

1644515123147	PolyGesture	InputEvent	BeginBatchEdit

1644515123176	PolyGesture	InputEvent	SelectionChanged 0 0

1644515123181	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644515123186	PolyGesture	InputEvent	SelectionChanged 81 81

1644515123187	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1644515123191	PolyGesture	InputEvent	SelectionChanged 81 81

1644515123199	PolyGesture	InputEvent	BeginBatchEdit

1644515123204	PolyGesture	InputEvent	BeginBatchEdit

1644515123204	PolyGesture	InputEvent	BeginBatchEdit

1644515123224	PolyGesture	InputEvent	BeginBatchEdit

1644515123224	PolyGesture	InputEvent	BeginBatchEdit

1644515123226	PolyGesture	InputEvent	BeginBatchEdit

1644515123229	PolyGesture	InputEvent	BeginBatchEdit

1644515123230	PolyGesture	InputEvent	BeginBatchEdit

1644515123231	PolyGesture	InputEvent	BeginBatchEdit

1644515123232	PolyGesture	InputEvent	BeginBatchEdit

1644515123232	PolyGesture	InputEvent	BeginBatchEdit

1644515123233	PolyGesture	InputEvent	BeginBatchEdit

1644515123435	PolyGesture	InputEvent	BeginBatchEdit

1644515123437	PolyGesture	InputEvent	BeginBatchEdit

1644515123985	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=760.0, y[0]=197.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89318106, downTime=89318106, deviceId=6, source=0x1002, displayId=0 }
1644515124030	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=760.0, y[0]=197.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89318161, downTime=89318106, deviceId=6, source=0x1002, displayId=0 }
1644515124044	PolyGesture	InputEvent	SelectionChanged 133 133

1644515124068	PolyGesture	InputEvent	BeginBatchEdit

1644515124094	PolyGesture	InputEvent	BeginBatchEdit

1644515124297	PolyGesture	InputEvent	BeginBatchEdit

1644515124299	PolyGesture	InputEvent	BeginBatchEdit

1644515124320	PolyGesture	InputEvent	BeginBatchEdit

1644515126280	PolyGesture	InputEvent	SelectionChanged 132 132

1644515126293	PolyGesture	InputEvent	BeginBatchEdit

1644515126304	PolyGesture	InputEvent	BeginBatchEdit

1644515126336	PolyGesture	InputEvent	SelectionChanged 131 131

1644515126348	PolyGesture	InputEvent	BeginBatchEdit

1644515126359	PolyGesture	InputEvent	BeginBatchEdit

1644515126559	PolyGesture	InputEvent	BeginBatchEdit

1644515126561	PolyGesture	InputEvent	BeginBatchEdit

1644515126939	PolyGesture	InputEvent	SelectionChanged 132 132

1644515126950	PolyGesture	InputEvent	BeginBatchEdit

1644515126960	PolyGesture	InputEvent	BeginBatchEdit

1644515127161	PolyGesture	InputEvent	BeginBatchEdit

1644515127163	PolyGesture	InputEvent	BeginBatchEdit

1644515128032	PolyGesture	InputEvent	BeginBatchEdit

1644515128052	PolyGesture	InputEvent	SelectionChanged 0 0

1644515128054	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644515128060	PolyGesture	InputEvent	SelectionChanged 131 131

1644515128062	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644515128067	PolyGesture	InputEvent	SelectionChanged 131 131

1644515128075	PolyGesture	InputEvent	BeginBatchEdit

1644515128080	PolyGesture	InputEvent	BeginBatchEdit

1644515128081	PolyGesture	InputEvent	BeginBatchEdit

1644515128082	PolyGesture	InputEvent	BeginBatchEdit

1644515128092	PolyGesture	InputEvent	BeginBatchEdit

1644515128094	PolyGesture	InputEvent	BeginBatchEdit

1644515128096	PolyGesture	InputEvent	BeginBatchEdit

1644515128099	PolyGesture	InputEvent	BeginBatchEdit

1644515128099	PolyGesture	InputEvent	BeginBatchEdit

1644515128103	PolyGesture	InputEvent	BeginBatchEdit

1644515128104	PolyGesture	InputEvent	BeginBatchEdit

1644515128105	PolyGesture	InputEvent	BeginBatchEdit

1644515128305	PolyGesture	InputEvent	BeginBatchEdit

1644515128306	PolyGesture	InputEvent	BeginBatchEdit

1644515128631	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=964.0, y[0]=418.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89322762, downTime=89322762, deviceId=6, source=0x1002, displayId=0 }
1644515128693	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=964.0, y[0]=418.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89322825, downTime=89322762, deviceId=6, source=0x1002, displayId=0 }
1644515128699	PolyGesture	InputEvent	SelectionChanged 312 312

1644515128720	PolyGesture	InputEvent	BeginBatchEdit

1644515128748	PolyGesture	InputEvent	BeginBatchEdit

1644515128952	PolyGesture	InputEvent	BeginBatchEdit

1644515128954	PolyGesture	InputEvent	BeginBatchEdit

1644515128974	PolyGesture	InputEvent	BeginBatchEdit

1644515129611	PolyGesture	InputEvent	BeginBatchEdit

1644515129632	PolyGesture	InputEvent	SelectionChanged 0 0

1644515129634	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644515129640	PolyGesture	InputEvent	SelectionChanged 311 311

1644515129642	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1644515129647	PolyGesture	InputEvent	SelectionChanged 311 311

1644515129659	PolyGesture	InputEvent	BeginBatchEdit

1644515129662	PolyGesture	InputEvent	BeginBatchEdit

1644515129663	PolyGesture	InputEvent	BeginBatchEdit

1644515129664	PolyGesture	InputEvent	BeginBatchEdit

1644515129675	PolyGesture	InputEvent	BeginBatchEdit

1644515129675	PolyGesture	InputEvent	BeginBatchEdit

1644515129676	PolyGesture	InputEvent	BeginBatchEdit

1644515129694	PolyGesture	InputEvent	BeginBatchEdit

1644515129697	PolyGesture	InputEvent	BeginBatchEdit

1644515129697	PolyGesture	InputEvent	BeginBatchEdit

1644515129699	PolyGesture	InputEvent	BeginBatchEdit

1644515129700	PolyGesture	InputEvent	BeginBatchEdit

1644515129701	PolyGesture	InputEvent	BeginBatchEdit

1644515129701	PolyGesture	InputEvent	BeginBatchEdit

1644515129702	PolyGesture	InputEvent	BeginBatchEdit

1644515129703	PolyGesture	InputEvent	BeginBatchEdit

1644515129721	PolyGesture	InputEvent	BeginBatchEdit

1644515129722	PolyGesture	InputEvent	BeginBatchEdit

1644515129723	PolyGesture	InputEvent	BeginBatchEdit

1644515129741	PolyGesture	InputEvent	BeginBatchEdit

1644515129926	PolyGesture	InputEvent	BeginBatchEdit

1644515129928	PolyGesture	InputEvent	BeginBatchEdit

1644515130262	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=655.0, y[0]=575.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89324385, downTime=89324385, deviceId=6, source=0x1002, displayId=0 }
1644515130313	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=655.0, y[0]=575.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89324444, downTime=89324385, deviceId=6, source=0x1002, displayId=0 }
1644515130324	PolyGesture	InputEvent	SelectionChanged 436 436

1644515130354	PolyGesture	InputEvent	BeginBatchEdit

1644515130384	PolyGesture	InputEvent	BeginBatchEdit

1644515130579	PolyGesture	InputEvent	BeginBatchEdit

1644515130589	PolyGesture	InputEvent	BeginBatchEdit

1644515130611	PolyGesture	InputEvent	BeginBatchEdit

1644515131294	PolyGesture	InputEvent	BeginBatchEdit

1644515131315	PolyGesture	InputEvent	SelectionChanged 0 0

1644515131317	PolyGesture	TaskCompleted	Cancella carattere in 11"846 seconds (at 89325449, effective time: 10"682)

***************************************


1644515131326	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1644515131330	PolyGesture	InputEvent	SelectionChanged 435 435

1644515131331	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1644515131335	PolyGesture	InputEvent	SelectionChanged 435 435

1644515131343	PolyGesture	InputEvent	BeginBatchEdit

1644515131386	PolyGesture	InputEvent	BeginBatchEdit

1644515131386	PolyGesture	InputEvent	BeginBatchEdit

1644515131388	PolyGesture	InputEvent	BeginBatchEdit

1644515131388	PolyGesture	InputEvent	BeginBatchEdit

1644515131402	PolyGesture	InputEvent	BeginBatchEdit

1644515131407	PolyGesture	InputEvent	BeginBatchEdit

1644515131410	PolyGesture	InputEvent	BeginBatchEdit

1644515131410	PolyGesture	InputEvent	BeginBatchEdit

1644515131416	PolyGesture	InputEvent	BeginBatchEdit

1644515131417	PolyGesture	InputEvent	BeginBatchEdit

1644515131418	PolyGesture	InputEvent	BeginBatchEdit

1644515131613	PolyGesture	InputEvent	BeginBatchEdit

1644515131614	PolyGesture	InputEvent	BeginBatchEdit

1644515132296	PolyGesture	InputEvent	BeginBatchEdit

1644515132307	PolyGesture	InputEvent	BeginBatchEdit

1644515132816	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=89326937, downTime=89326937, deviceId=-1, source=0x101, displayId=0 }

1644515132820	PolyGesture	InputEvent	BeginBatchEdit

1644515132863	PolyGesture	InputEvent	WindowFocusChanged false

1644515132893	PolyGesture	InputEvent	BeginBatchEdit

1644515132894	PolyGesture	InputEvent	BeginBatchEdit

1644515133775	PolyGesture	InputEvent	SelectionChanged 0 0

1644515133775	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515133781	PolyGesture	InputEvent	SelectionChanged 0 0

1644515133781	PolyGesture	InputEvent	SelectionChanged 0 0

1644515133782	PolyGesture	TaskStarted	Cancella parola

1644515133782	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644515133786	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644515133788	PolyGesture	InputEvent	SelectionChanged 534 534

1644515133806	PolyGesture	InputEvent	FocusChanged true 130 null

1644515133827	PolyGesture	InputEvent	WindowFocusChanged true

1644515133840	PolyGesture	InputEvent	BeginBatchEdit

1644515133840	PolyGesture	InputEvent	BeginBatchEdit

1644515134695	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=266.0, y[0]=221.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89328817, downTime=89328817, deviceId=6, source=0x1002, displayId=0 }
1644515134733	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=266.0, y[0]=221.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89328864, downTime=89328817, deviceId=6, source=0x1002, displayId=0 }
1644515134745	PolyGesture	InputEvent	SelectionChanged 106 106

1644515134779	PolyGesture	InputEvent	BeginBatchEdit

1644515134818	PolyGesture	InputEvent	BeginBatchEdit

1644515134819	PolyGesture	InputEvent	BeginBatchEdit

1644515134820	PolyGesture	InputEvent	BeginBatchEdit

1644515134835	PolyGesture	InputEvent	TouchEvent (cursorPosition=106): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=266.0, y[0]=221.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89328962, downTime=89328962, deviceId=6, source=0x1002, displayId=0 }
1644515134845	PolyGesture	InputEvent	SelectionChanged 103 109

1644515134860	PolyGesture	InputEvent	BeginBatchEdit

1644515134883	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=266.0, y[0]=221.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89329010, downTime=89328962, deviceId=6, source=0x1002, displayId=0 }
1644515134892	PolyGesture	InputEvent	BeginBatchEdit

1644515134893	PolyGesture	InputEvent	BeginBatchEdit

1644515134897	PolyGesture	InputEvent	BeginBatchEdit

1644515134899	PolyGesture	InputEvent	BeginBatchEdit

1644515134900	PolyGesture	InputEvent	BeginBatchEdit

1644515134900	PolyGesture	InputEvent	BeginBatchEdit

1644515134910	PolyGesture	InputEvent	BeginBatchEdit

1644515134910	PolyGesture	InputEvent	BeginBatchEdit

1644515134912	PolyGesture	InputEvent	BeginBatchEdit

1644515135182	PolyGesture	InputEvent	BeginBatchEdit

1644515135182	PolyGesture	InputEvent	BeginBatchEdit

1644515135220	PolyGesture	InputEvent	BeginBatchEdit

1644515135724	PolyGesture	InputEvent	BeginBatchEdit

1644515135762	PolyGesture	InputEvent	SelectionChanged 109 109

1644515135773	PolyGesture	InputEvent	SelectionChanged 0 0

1644515135775	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644515135779	PolyGesture	InputEvent	SelectionChanged 103 103

1644515135780	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1644515135784	PolyGesture	InputEvent	SelectionChanged 103 103

1644515135793	PolyGesture	InputEvent	BeginBatchEdit

1644515135797	PolyGesture	InputEvent	BeginBatchEdit

1644515135797	PolyGesture	InputEvent	BeginBatchEdit

1644515135805	PolyGesture	InputEvent	BeginBatchEdit

1644515135806	PolyGesture	InputEvent	BeginBatchEdit

1644515135807	PolyGesture	InputEvent	BeginBatchEdit

1644515135817	PolyGesture	InputEvent	BeginBatchEdit

1644515136017	PolyGesture	InputEvent	BeginBatchEdit

1644515136356	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=799.0, y[0]=379.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89330478, downTime=89330478, deviceId=6, source=0x1002, displayId=0 }
1644515136408	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=799.0, y[0]=379.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89330540, downTime=89330478, deviceId=6, source=0x1002, displayId=0 }
1644515136420	PolyGesture	InputEvent	SelectionChanged 261 261

1644515136442	PolyGesture	InputEvent	BeginBatchEdit

1644515136470	PolyGesture	InputEvent	BeginBatchEdit

1644515136670	PolyGesture	InputEvent	BeginBatchEdit

1644515136671	PolyGesture	InputEvent	BeginBatchEdit

1644515136691	PolyGesture	InputEvent	BeginBatchEdit

1644515137158	PolyGesture	InputEvent	TouchEvent (cursorPosition=261): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=731.0, y[0]=387.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89331280, downTime=89331280, deviceId=6, source=0x1002, displayId=0 }
1644515137210	PolyGesture	InputEvent	TouchEvent (cursorPosition=261): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=731.0, y[0]=387.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89331342, downTime=89331280, deviceId=6, source=0x1002, displayId=0 }
1644515137238	PolyGesture	InputEvent	SelectionChanged 297 297

1644515137258	PolyGesture	InputEvent	BeginBatchEdit

1644515137278	PolyGesture	InputEvent	BeginBatchEdit

1644515137318	PolyGesture	InputEvent	TouchEvent (cursorPosition=297): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=758.0, y[0]=354.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89331446, downTime=89331446, deviceId=6, source=0x1002, displayId=0 }
1644515137337	PolyGesture	InputEvent	SelectionChanged 257 263

1644515137351	PolyGesture	InputEvent	BeginBatchEdit

1644515137353	PolyGesture	InputEvent	BeginBatchEdit

1644515137356	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=758.0, y[0]=354.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89331488, downTime=89331446, deviceId=6, source=0x1002, displayId=0 }
1644515137584	PolyGesture	InputEvent	BeginBatchEdit

1644515137586	PolyGesture	InputEvent	BeginBatchEdit

1644515137625	PolyGesture	InputEvent	BeginBatchEdit

1644515138220	PolyGesture	InputEvent	BeginBatchEdit

1644515138250	PolyGesture	InputEvent	SelectionChanged 263 263

1644515138258	PolyGesture	InputEvent	SelectionChanged 0 0

1644515138261	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1644515138265	PolyGesture	InputEvent	SelectionChanged 257 257

1644515138266	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1644515138271	PolyGesture	InputEvent	SelectionChanged 257 257

1644515138283	PolyGesture	InputEvent	BeginBatchEdit

1644515138293	PolyGesture	InputEvent	BeginBatchEdit

1644515138294	PolyGesture	InputEvent	BeginBatchEdit

1644515138303	PolyGesture	InputEvent	BeginBatchEdit

1644515138305	PolyGesture	InputEvent	BeginBatchEdit

1644515138308	PolyGesture	InputEvent	BeginBatchEdit

1644515138310	PolyGesture	InputEvent	BeginBatchEdit

1644515138510	PolyGesture	InputEvent	BeginBatchEdit

1644515139135	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=794.0, y[0]=593.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89333256, downTime=89333256, deviceId=6, source=0x1002, displayId=0 }
