1644484706598	PolyGesture	ExperimentStarted	Grazia
1644484711300	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1644484711305	PolyGesture	InputEvent	SelectionChanged 81 81

1644484711316	PolyGesture	InputEvent	BeginBatchEdit

1644484711320	PolyGesture	InputEvent	BeginBatchEdit

1644484711322	PolyGesture	InputEvent	BeginBatchEdit

1644484711324	PolyGesture	InputEvent	BeginBatchEdit

1644484711352	PolyGesture	InputEvent	BeginBatchEdit

1644484711354	PolyGesture	InputEvent	BeginBatchEdit

1644484711356	PolyGesture	InputEvent	BeginBatchEdit

1644484711358	PolyGesture	InputEvent	BeginBatchEdit

1644484711359	PolyGesture	InputEvent	BeginBatchEdit

1644484711361	PolyGesture	InputEvent	BeginBatchEdit

1644484711362	PolyGesture	InputEvent	BeginBatchEdit

1644484711363	PolyGesture	InputEvent	BeginBatchEdit

1644484711563	PolyGesture	InputEvent	BeginBatchEdit

1644484711564	PolyGesture	InputEvent	BeginBatchEdit

1644484712157	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=744.0, y[0]=149.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60400344, downTime=60400344, deviceId=6, source=0x1002, displayId=0 }
1644484712180	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=744.0, y[0]=149.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60400378, downTime=60400344, deviceId=6, source=0x1002, displayId=0 }
1644484712194	PolyGesture	InputEvent	SelectionChanged 132 132

1644484712221	PolyGesture	InputEvent	BeginBatchEdit

1644484712246	PolyGesture	InputEvent	BeginBatchEdit

1644484712456	PolyGesture	InputEvent	BeginBatchEdit

1644484712457	PolyGesture	InputEvent	BeginBatchEdit

1644484712478	PolyGesture	InputEvent	BeginBatchEdit

1644484713720	PolyGesture	InputEvent	BeginBatchEdit

1644484713743	PolyGesture	InputEvent	SelectionChanged 0 0

1644484713745	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644484713751	PolyGesture	InputEvent	SelectionChanged 131 131

1644484713752	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644484713757	PolyGesture	InputEvent	SelectionChanged 131 131

1644484713767	PolyGesture	InputEvent	BeginBatchEdit

1644484713771	PolyGesture	InputEvent	BeginBatchEdit

1644484713772	PolyGesture	InputEvent	BeginBatchEdit

1644484713773	PolyGesture	InputEvent	BeginBatchEdit

1644484713799	PolyGesture	InputEvent	BeginBatchEdit

1644484713802	PolyGesture	InputEvent	BeginBatchEdit

1644484713802	PolyGesture	InputEvent	BeginBatchEdit

1644484713804	PolyGesture	InputEvent	BeginBatchEdit

1644484713806	PolyGesture	InputEvent	BeginBatchEdit

1644484713808	PolyGesture	InputEvent	BeginBatchEdit

1644484713809	PolyGesture	InputEvent	BeginBatchEdit

1644484713841	PolyGesture	InputEvent	BeginBatchEdit

1644484714010	PolyGesture	InputEvent	BeginBatchEdit

1644484714011	PolyGesture	InputEvent	BeginBatchEdit

1644484714531	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=964.0, y[0]=368.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60402725, downTime=60402725, deviceId=6, source=0x1002, displayId=0 }
1644484714568	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=964.0, y[0]=368.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60402766, downTime=60402725, deviceId=6, source=0x1002, displayId=0 }
1644484714581	PolyGesture	InputEvent	SelectionChanged 312 312

1644484714601	PolyGesture	InputEvent	BeginBatchEdit

1644484714623	PolyGesture	InputEvent	BeginBatchEdit

1644484714828	PolyGesture	InputEvent	BeginBatchEdit

1644484714830	PolyGesture	InputEvent	BeginBatchEdit

1644484714852	PolyGesture	InputEvent	BeginBatchEdit

1644484715276	PolyGesture	InputEvent	BeginBatchEdit

1644484715300	PolyGesture	InputEvent	SelectionChanged 0 0

1644484715303	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644484715309	PolyGesture	InputEvent	SelectionChanged 311 311

1644484715310	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1644484715315	PolyGesture	InputEvent	SelectionChanged 311 311

1644484715330	PolyGesture	InputEvent	BeginBatchEdit

1644484715332	PolyGesture	InputEvent	BeginBatchEdit

1644484715333	PolyGesture	InputEvent	BeginBatchEdit

1644484715334	PolyGesture	InputEvent	BeginBatchEdit

1644484715359	PolyGesture	InputEvent	BeginBatchEdit

1644484715360	PolyGesture	InputEvent	BeginBatchEdit

1644484715361	PolyGesture	InputEvent	BeginBatchEdit

1644484715361	PolyGesture	InputEvent	BeginBatchEdit

1644484715372	PolyGesture	InputEvent	BeginBatchEdit

1644484715372	PolyGesture	InputEvent	BeginBatchEdit

1644484715374	PolyGesture	InputEvent	BeginBatchEdit

1644484715374	PolyGesture	InputEvent	BeginBatchEdit

1644484715375	PolyGesture	InputEvent	BeginBatchEdit

1644484715376	PolyGesture	InputEvent	BeginBatchEdit

1644484715377	PolyGesture	InputEvent	BeginBatchEdit

1644484715395	PolyGesture	InputEvent	BeginBatchEdit

1644484715398	PolyGesture	InputEvent	BeginBatchEdit

1644484715399	PolyGesture	InputEvent	BeginBatchEdit

1644484715402	PolyGesture	InputEvent	BeginBatchEdit

1644484715417	PolyGesture	InputEvent	BeginBatchEdit

1644484715600	PolyGesture	InputEvent	BeginBatchEdit

1644484715604	PolyGesture	InputEvent	BeginBatchEdit

1644484715884	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=672.0, y[0]=524.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60404073, downTime=60404073, deviceId=6, source=0x1002, displayId=0 }
1644484715922	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=672.0, y[0]=524.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60404120, downTime=60404073, deviceId=6, source=0x1002, displayId=0 }
1644484715934	PolyGesture	InputEvent	SelectionChanged 436 436

1644484715959	PolyGesture	InputEvent	BeginBatchEdit

1644484715992	PolyGesture	InputEvent	BeginBatchEdit

1644484716186	PolyGesture	InputEvent	BeginBatchEdit

1644484716188	PolyGesture	InputEvent	BeginBatchEdit

1644484716209	PolyGesture	InputEvent	BeginBatchEdit

1644484716649	PolyGesture	InputEvent	BeginBatchEdit

1644484716667	PolyGesture	InputEvent	SelectionChanged 0 0

1644484716670	PolyGesture	TaskCompleted	Cancella carattere in 8"959 seconds (at 60404868, effective time: 7"213)

***************************************


1644484716677	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1644484716681	PolyGesture	InputEvent	SelectionChanged 435 435

1644484716682	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1644484716686	PolyGesture	InputEvent	SelectionChanged 435 435

1644484716695	PolyGesture	InputEvent	BeginBatchEdit

1644484716727	PolyGesture	InputEvent	BeginBatchEdit

1644484716728	PolyGesture	InputEvent	BeginBatchEdit

1644484716729	PolyGesture	InputEvent	BeginBatchEdit

1644484716741	PolyGesture	InputEvent	BeginBatchEdit

1644484716743	PolyGesture	InputEvent	BeginBatchEdit

1644484716746	PolyGesture	InputEvent	BeginBatchEdit

1644484716747	PolyGesture	InputEvent	BeginBatchEdit

1644484716748	PolyGesture	InputEvent	BeginBatchEdit

1644484716751	PolyGesture	InputEvent	BeginBatchEdit

1644484716752	PolyGesture	InputEvent	BeginBatchEdit

1644484716753	PolyGesture	InputEvent	BeginBatchEdit

1644484716953	PolyGesture	InputEvent	BeginBatchEdit

1644484716954	PolyGesture	InputEvent	BeginBatchEdit

1644484717433	PolyGesture	InputEvent	BeginBatchEdit

1644484717449	PolyGesture	InputEvent	BeginBatchEdit

1644484717803	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=60405998, downTime=60405998, deviceId=-1, source=0x101, displayId=0 }

1644484717807	PolyGesture	InputEvent	BeginBatchEdit

1644484717860	PolyGesture	InputEvent	WindowFocusChanged false

1644484717892	PolyGesture	InputEvent	BeginBatchEdit

1644484717892	PolyGesture	InputEvent	BeginBatchEdit

1644484718629	PolyGesture	InputEvent	SelectionChanged 0 0

1644484718629	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644484718636	PolyGesture	InputEvent	SelectionChanged 0 0

1644484718637	PolyGesture	InputEvent	SelectionChanged 0 0

1644484718637	PolyGesture	TaskStarted	Cancella parola

1644484718638	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644484718641	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644484718645	PolyGesture	InputEvent	SelectionChanged 534 534

1644484718659	PolyGesture	InputEvent	FocusChanged true 130 null

1644484718687	PolyGesture	InputEvent	WindowFocusChanged true

1644484719563	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=347.0, y[0]=132.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60407752, downTime=60407752, deviceId=6, source=0x1002, displayId=0 }
1644484719602	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=347.0, y[0]=132.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60407800, downTime=60407752, deviceId=6, source=0x1002, displayId=0 }
1644484719612	PolyGesture	InputEvent	SelectionChanged 109 109

1644484719641	PolyGesture	InputEvent	BeginBatchEdit

1644484719641	PolyGesture	InputEvent	BeginBatchEdit

1644484719654	PolyGesture	InputEvent	BeginBatchEdit

1644484719665	PolyGesture	InputEvent	BeginBatchEdit

1644484719874	PolyGesture	InputEvent	BeginBatchEdit

1644484719875	PolyGesture	InputEvent	BeginBatchEdit

1644484719896	PolyGesture	InputEvent	BeginBatchEdit

1644484720741	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=187.0, y[0]=138.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60408931, downTime=60408931, deviceId=6, source=0x1002, displayId=0 }
1644484720781	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=187.0, y[0]=138.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60408980, downTime=60408931, deviceId=6, source=0x1002, displayId=0 }
1644484720795	PolyGesture	InputEvent	SelectionChanged 104 104

1644484720797	PolyGesture	InputEvent	SelectionChanged 109 104

1644484720807	PolyGesture	InputEvent	BeginBatchEdit

1644484720809	PolyGesture	InputEvent	BeginBatchEdit

1644484720810	PolyGesture	InputEvent	BeginBatchEdit

1644484720812	PolyGesture	InputEvent	BeginBatchEdit

1644484721015	PolyGesture	InputEvent	BeginBatchEdit

1644484721017	PolyGesture	InputEvent	BeginBatchEdit

1644484721032	PolyGesture	InputEvent	BeginBatchEdit

1644484721354	PolyGesture	InputEvent	SelectionChanged 109 103

1644484721364	PolyGesture	InputEvent	BeginBatchEdit

1644484721366	PolyGesture	InputEvent	BeginBatchEdit

1644484721567	PolyGesture	InputEvent	BeginBatchEdit

1644484722782	PolyGesture	InputEvent	BeginBatchEdit

1644484722785	PolyGesture	InputEvent	SelectionChanged 109 109

1644484722794	PolyGesture	InputEvent	SelectionChanged 0 0

1644484722797	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644484722803	PolyGesture	InputEvent	SelectionChanged 103 103

1644484722804	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1644484722808	PolyGesture	InputEvent	SelectionChanged 103 103

1644484722822	PolyGesture	InputEvent	BeginBatchEdit

1644484722826	PolyGesture	InputEvent	BeginBatchEdit

1644484722835	PolyGesture	InputEvent	BeginBatchEdit

1644484722835	PolyGesture	InputEvent	BeginBatchEdit

1644484722837	PolyGesture	InputEvent	BeginBatchEdit

1644484722838	PolyGesture	InputEvent	BeginBatchEdit

1644484722841	PolyGesture	InputEvent	BeginBatchEdit

1644484723041	PolyGesture	InputEvent	BeginBatchEdit

1644484723603	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=864.0, y[0]=309.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60411790, downTime=60411790, deviceId=6, source=0x1002, displayId=0 }
1644484723641	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=864.0, y[0]=309.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60411839, downTime=60411790, deviceId=6, source=0x1002, displayId=0 }
1644484723653	PolyGesture	InputEvent	SelectionChanged 263 263

1644484723674	PolyGesture	InputEvent	BeginBatchEdit

1644484723696	PolyGesture	InputEvent	BeginBatchEdit

1644484723901	PolyGesture	InputEvent	BeginBatchEdit

1644484723903	PolyGesture	InputEvent	BeginBatchEdit

1644484723932	PolyGesture	InputEvent	BeginBatchEdit

1644484724768	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=692.0, y[0]=291.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60412956, downTime=60412956, deviceId=6, source=0x1002, displayId=0 }
1644484724805	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=692.0, y[0]=291.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60413004, downTime=60412956, deviceId=6, source=0x1002, displayId=0 }
1644484724824	PolyGesture	InputEvent	SelectionChanged 257 257

1644484724826	PolyGesture	InputEvent	SelectionChanged 263 257

1644484724837	PolyGesture	InputEvent	BeginBatchEdit

1644484724840	PolyGesture	InputEvent	BeginBatchEdit

1644484724840	PolyGesture	InputEvent	BeginBatchEdit

1644484724842	PolyGesture	InputEvent	BeginBatchEdit

1644484725043	PolyGesture	InputEvent	BeginBatchEdit

1644484725045	PolyGesture	InputEvent	BeginBatchEdit

1644484725062	PolyGesture	InputEvent	BeginBatchEdit

1644484725742	PolyGesture	InputEvent	BeginBatchEdit

1644484725743	PolyGesture	InputEvent	SelectionChanged 263 263

1644484725749	PolyGesture	InputEvent	SelectionChanged 0 0

1644484725751	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1644484725755	PolyGesture	InputEvent	SelectionChanged 257 257

1644484725756	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1644484725760	PolyGesture	InputEvent	SelectionChanged 257 257

1644484725772	PolyGesture	InputEvent	BeginBatchEdit

1644484725776	PolyGesture	InputEvent	BeginBatchEdit

1644484725777	PolyGesture	InputEvent	BeginBatchEdit

1644484725784	PolyGesture	InputEvent	BeginBatchEdit

1644484725788	PolyGesture	InputEvent	BeginBatchEdit

1644484725792	PolyGesture	InputEvent	BeginBatchEdit

1644484725794	PolyGesture	InputEvent	BeginBatchEdit

1644484725996	PolyGesture	InputEvent	BeginBatchEdit

1644484726497	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=864.0, y[0]=534.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60414685, downTime=60414685, deviceId=6, source=0x1002, displayId=0 }
1644484726528	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=864.0, y[0]=534.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60414726, downTime=60414685, deviceId=6, source=0x1002, displayId=0 }
1644484726541	PolyGesture	InputEvent	SelectionChanged 447 447

1644484726573	PolyGesture	InputEvent	BeginBatchEdit

1644484726608	PolyGesture	InputEvent	BeginBatchEdit

1644484726819	PolyGesture	InputEvent	BeginBatchEdit

1644484726821	PolyGesture	InputEvent	BeginBatchEdit

1644484726845	PolyGesture	InputEvent	BeginBatchEdit

1644484728237	PolyGesture	InputEvent	TouchEvent (cursorPosition=447): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=704.0, y[0]=516.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60416426, downTime=60416426, deviceId=6, source=0x1002, displayId=0 }
1644484728262	PolyGesture	InputEvent	TouchEvent (cursorPosition=447): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=704.0, y[0]=516.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60416460, downTime=60416426, deviceId=6, source=0x1002, displayId=0 }
1644484728280	PolyGesture	InputEvent	SelectionChanged 441 441

1644484728282	PolyGesture	InputEvent	SelectionChanged 447 441

1644484728302	PolyGesture	InputEvent	BeginBatchEdit

1644484728306	PolyGesture	InputEvent	BeginBatchEdit

1644484728307	PolyGesture	InputEvent	BeginBatchEdit

1644484728310	PolyGesture	InputEvent	BeginBatchEdit

1644484728513	PolyGesture	InputEvent	BeginBatchEdit

1644484728515	PolyGesture	InputEvent	BeginBatchEdit

1644484728540	PolyGesture	InputEvent	BeginBatchEdit

1644484729405	PolyGesture	InputEvent	BeginBatchEdit

1644484729406	PolyGesture	InputEvent	SelectionChanged 447 447

1644484729417	PolyGesture	InputEvent	SelectionChanged 0 0

1644484729420	PolyGesture	TaskCompleted	Cancella parola in 10"782 seconds (at 60417618, effective time: 9"866)

