1647340305115	PolyGesture	ExperimentStarted	Silvia
1647340311191	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=438.0, y[0]=65.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422300391, downTime=422300315, deviceId=6, source=0x1002, displayId=0 }
1647340311199	PolyGesture	InputEvent	SelectionChanged 82 82

1647340311235	PolyGesture	InputEvent	BeginBatchEdit

1647340311236	PolyGesture	InputEvent	BeginBatchEdit

1647340311236	PolyGesture	InputEvent	BeginBatchEdit

1647340311249	PolyGesture	InputEvent	BeginBatchEdit

1647340311457	PolyGesture	InputEvent	BeginBatchEdit

1647340314675	PolyGesture	InputEvent	SelectionChanged 82 81

1647340314689	PolyGesture	InputEvent	BeginBatchEdit

1647340314692	PolyGesture	InputEvent	BeginBatchEdit

1647340314895	PolyGesture	InputEvent	BeginBatchEdit

1647340317957	PolyGesture	InputEvent	BeginBatchEdit

1647340317959	PolyGesture	InputEvent	SelectionChanged 82 82

1647340317968	PolyGesture	InputEvent	SelectionChanged 0 0

1647340317971	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647340317979	PolyGesture	InputEvent	SelectionChanged 81 81

1647340317980	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647340317984	PolyGesture	InputEvent	SelectionChanged 81 81

1647340317997	PolyGesture	InputEvent	BeginBatchEdit

1647340318004	PolyGesture	InputEvent	BeginBatchEdit

1647340318005	PolyGesture	InputEvent	BeginBatchEdit

1647340318018	PolyGesture	InputEvent	BeginBatchEdit

1647340318020	PolyGesture	InputEvent	BeginBatchEdit

1647340318020	PolyGesture	InputEvent	BeginBatchEdit

1647340318022	PolyGesture	InputEvent	BeginBatchEdit

1647340318224	PolyGesture	InputEvent	BeginBatchEdit

1647340319510	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=366.0, y[0]=110.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422308695, downTime=422308695, deviceId=6, source=0x1002, displayId=0 }
1647340319584	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=366.0, y[0]=110.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422308784, downTime=422308695, deviceId=6, source=0x1002, displayId=0 }
1647340319592	PolyGesture	InputEvent	SelectionChanged 132 132

1647340319610	PolyGesture	InputEvent	BeginBatchEdit

1647340319640	PolyGesture	InputEvent	BeginBatchEdit

1647340319851	PolyGesture	InputEvent	BeginBatchEdit

1647340321713	PolyGesture	InputEvent	BeginBatchEdit

1647340321735	PolyGesture	InputEvent	SelectionChanged 0 0

1647340321738	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647340321744	PolyGesture	InputEvent	SelectionChanged 131 131

1647340321745	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647340321749	PolyGesture	InputEvent	SelectionChanged 131 131

1647340321758	PolyGesture	InputEvent	BeginBatchEdit

1647340321764	PolyGesture	InputEvent	BeginBatchEdit

1647340321765	PolyGesture	InputEvent	BeginBatchEdit

1647340321776	PolyGesture	InputEvent	BeginBatchEdit

1647340321779	PolyGesture	InputEvent	BeginBatchEdit

1647340321780	PolyGesture	InputEvent	BeginBatchEdit

1647340321786	PolyGesture	InputEvent	BeginBatchEdit

1647340321987	PolyGesture	InputEvent	BeginBatchEdit

1647340322769	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=751.0, y[0]=241.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422311955, downTime=422311955, deviceId=6, source=0x1002, displayId=0 }
1647340322781	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=751.0, y[0]=241.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422311982, downTime=422311955, deviceId=6, source=0x1002, displayId=0 }
1647340322786	PolyGesture	InputEvent	SelectionChanged 312 312

1647340322810	PolyGesture	InputEvent	BeginBatchEdit

1647340322844	PolyGesture	InputEvent	BeginBatchEdit

1647340323036	PolyGesture	InputEvent	BeginBatchEdit

1647340323906	PolyGesture	InputEvent	BeginBatchEdit

1647340323922	PolyGesture	InputEvent	SelectionChanged 0 0

1647340323925	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647340323931	PolyGesture	InputEvent	SelectionChanged 311 311

1647340323932	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647340323936	PolyGesture	InputEvent	SelectionChanged 311 311

1647340323945	PolyGesture	InputEvent	BeginBatchEdit

1647340323950	PolyGesture	InputEvent	BeginBatchEdit

1647340323950	PolyGesture	InputEvent	BeginBatchEdit

1647340323957	PolyGesture	InputEvent	BeginBatchEdit

1647340323960	PolyGesture	InputEvent	BeginBatchEdit

1647340323962	PolyGesture	InputEvent	BeginBatchEdit

1647340323964	PolyGesture	InputEvent	BeginBatchEdit

1647340324165	PolyGesture	InputEvent	BeginBatchEdit

1647340324936	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=947.0, y[0]=343.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422314134, downTime=422314134, deviceId=6, source=0x1002, displayId=0 }
1647340324996	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=947.0, y[0]=343.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422314196, downTime=422314134, deviceId=6, source=0x1002, displayId=0 }
1647340325004	PolyGesture	InputEvent	SelectionChanged 437 437

1647340325023	PolyGesture	InputEvent	BeginBatchEdit

1647340325061	PolyGesture	InputEvent	BeginBatchEdit

1647340325253	PolyGesture	InputEvent	BeginBatchEdit

1647340326043	PolyGesture	InputEvent	TouchEvent (cursorPosition=437): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=931.0, y[0]=335.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422315241, downTime=422315241, deviceId=6, source=0x1002, displayId=0 }
1647340326102	PolyGesture	InputEvent	TouchEvent (cursorPosition=437): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=931.0, y[0]=335.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422315302, downTime=422315241, deviceId=6, source=0x1002, displayId=0 }
1647340326119	PolyGesture	InputEvent	SelectionChanged 436 436

1647340326136	PolyGesture	InputEvent	BeginBatchEdit

1647340326160	PolyGesture	InputEvent	BeginBatchEdit

1647340326367	PolyGesture	InputEvent	BeginBatchEdit

1647340327141	PolyGesture	InputEvent	BeginBatchEdit

1647340327159	PolyGesture	InputEvent	SelectionChanged 0 0

1647340327162	PolyGesture	TaskCompleted	Cancella carattere in 18"083 seconds (at 422316362, effective time: 16"047)

***************************************


1647340327171	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647340327178	PolyGesture	InputEvent	SelectionChanged 435 435

1647340327179	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647340327184	PolyGesture	InputEvent	SelectionChanged 435 435

1647340327193	PolyGesture	InputEvent	BeginBatchEdit

1647340327233	PolyGesture	InputEvent	BeginBatchEdit

1647340327234	PolyGesture	InputEvent	BeginBatchEdit

1647340327236	PolyGesture	InputEvent	BeginBatchEdit

1647340327239	PolyGesture	InputEvent	BeginBatchEdit

1647340327241	PolyGesture	InputEvent	BeginBatchEdit

1647340327244	PolyGesture	InputEvent	BeginBatchEdit

1647340327446	PolyGesture	InputEvent	BeginBatchEdit

1647340331743	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=422320939, downTime=422320939, deviceId=-1, source=0x101, displayId=0 }

1647340331747	PolyGesture	InputEvent	BeginBatchEdit

1647340331797	PolyGesture	InputEvent	WindowFocusChanged false

1647340331832	PolyGesture	InputEvent	BeginBatchEdit

1647340331833	PolyGesture	InputEvent	BeginBatchEdit

1647340340310	PolyGesture	InputEvent	SelectionChanged 0 0

1647340340311	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647340340397	PolyGesture	InputEvent	SelectionChanged 0 0

1647340340398	PolyGesture	InputEvent	SelectionChanged 0 0

1647340340398	PolyGesture	TaskStarted	Cancella parola

1647340340399	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647340340402	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647340340405	PolyGesture	InputEvent	SelectionChanged 534 534

1647340340422	PolyGesture	InputEvent	FocusChanged true 130 null

1647340340445	PolyGesture	InputEvent	WindowFocusChanged true

1647340342941	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=904.0, y[0]=65.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422332138, downTime=422332138, deviceId=6, source=0x1002, displayId=0 }
1647340343022	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=904.0, y[0]=65.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422332221, downTime=422332138, deviceId=6, source=0x1002, displayId=0 }
1647340343029	PolyGesture	InputEvent	SelectionChanged 109 109

1647340343055	PolyGesture	InputEvent	BeginBatchEdit

1647340343056	PolyGesture	InputEvent	BeginBatchEdit

1647340343056	PolyGesture	InputEvent	BeginBatchEdit

1647340343082	PolyGesture	InputEvent	BeginBatchEdit

1647340343286	PolyGesture	InputEvent	BeginBatchEdit

1647340344260	PolyGesture	InputEvent	SelectionChanged 109 108

1647340344272	PolyGesture	InputEvent	BeginBatchEdit

1647340344276	PolyGesture	InputEvent	BeginBatchEdit

1647340344398	PolyGesture	InputEvent	SelectionChanged 109 107

1647340344410	PolyGesture	InputEvent	BeginBatchEdit

1647340344414	PolyGesture	InputEvent	BeginBatchEdit

1647340344565	PolyGesture	InputEvent	SelectionChanged 109 106

1647340344577	PolyGesture	InputEvent	BeginBatchEdit

1647340344581	PolyGesture	InputEvent	BeginBatchEdit

1647340344718	PolyGesture	InputEvent	SelectionChanged 109 105

1647340344733	PolyGesture	InputEvent	BeginBatchEdit

1647340344736	PolyGesture	InputEvent	BeginBatchEdit

1647340344851	PolyGesture	InputEvent	SelectionChanged 109 104

1647340344867	PolyGesture	InputEvent	BeginBatchEdit

1647340344871	PolyGesture	InputEvent	BeginBatchEdit

1647340344984	PolyGesture	InputEvent	SelectionChanged 109 103

1647340345001	PolyGesture	InputEvent	BeginBatchEdit

1647340345004	PolyGesture	InputEvent	BeginBatchEdit

1647340345206	PolyGesture	InputEvent	BeginBatchEdit

1647340345422	PolyGesture	InputEvent	SelectionChanged 109 102

1647340345435	PolyGesture	InputEvent	BeginBatchEdit

1647340345439	PolyGesture	InputEvent	BeginBatchEdit

1647340345640	PolyGesture	InputEvent	BeginBatchEdit

1647340346108	PolyGesture	InputEvent	BeginBatchEdit

1647340346110	PolyGesture	InputEvent	SelectionChanged 109 109

1647340346118	PolyGesture	InputEvent	SelectionChanged 0 0

1647340346121	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 527 527

1647340346129	PolyGesture	InputEvent	SelectionChanged 102 102

1647340346130	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 102 7 0

1647340346134	PolyGesture	InputEvent	SelectionChanged 102 102

1647340346148	PolyGesture	InputEvent	BeginBatchEdit

1647340346163	PolyGesture	InputEvent	BeginBatchEdit

1647340346163	PolyGesture	InputEvent	BeginBatchEdit

1647340346170	PolyGesture	InputEvent	BeginBatchEdit

1647340346172	PolyGesture	InputEvent	BeginBatchEdit

1647340346175	PolyGesture	InputEvent	BeginBatchEdit

1647340346177	PolyGesture	InputEvent	BeginBatchEdit

1647340346378	PolyGesture	InputEvent	BeginBatchEdit

1647340347387	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=723.0, y[0]=198.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422336579, downTime=422336579, deviceId=6, source=0x1002, displayId=0 }
1647340347398	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=723.0, y[0]=198.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422336598, downTime=422336579, deviceId=6, source=0x1002, displayId=0 }
1647340347404	PolyGesture	InputEvent	SelectionChanged 262 262

1647340347433	PolyGesture	InputEvent	BeginBatchEdit

1647340347466	PolyGesture	InputEvent	BeginBatchEdit

1647340347679	PolyGesture	InputEvent	BeginBatchEdit

1647340348296	PolyGesture	InputEvent	SelectionChanged 262 261

1647340348307	PolyGesture	InputEvent	BeginBatchEdit

1647340348311	PolyGesture	InputEvent	BeginBatchEdit

1647340348433	PolyGesture	InputEvent	SelectionChanged 262 260

1647340348447	PolyGesture	InputEvent	BeginBatchEdit

1647340348451	PolyGesture	InputEvent	BeginBatchEdit

1647340348653	PolyGesture	InputEvent	BeginBatchEdit

1647340348691	PolyGesture	InputEvent	SelectionChanged 262 259

1647340348703	PolyGesture	InputEvent	BeginBatchEdit

1647340348707	PolyGesture	InputEvent	BeginBatchEdit

1647340348843	PolyGesture	InputEvent	SelectionChanged 262 258

1647340348859	PolyGesture	InputEvent	BeginBatchEdit

1647340348863	PolyGesture	InputEvent	BeginBatchEdit

1647340349004	PolyGesture	InputEvent	SelectionChanged 262 257

1647340349027	PolyGesture	InputEvent	BeginBatchEdit

1647340349031	PolyGesture	InputEvent	BeginBatchEdit

1647340349124	PolyGesture	InputEvent	SelectionChanged 262 256

1647340349135	PolyGesture	InputEvent	BeginBatchEdit

1647340349138	PolyGesture	InputEvent	BeginBatchEdit

1647340349241	PolyGesture	InputEvent	SelectionChanged 262 255

1647340349259	PolyGesture	InputEvent	BeginBatchEdit

1647340349263	PolyGesture	InputEvent	BeginBatchEdit

1647340349464	PolyGesture	InputEvent	BeginBatchEdit

1647340350115	PolyGesture	InputEvent	BeginBatchEdit

1647340350117	PolyGesture	InputEvent	SelectionChanged 262 262

1647340350125	PolyGesture	InputEvent	SelectionChanged 0 0

1647340350128	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 520 520

1647340350136	PolyGesture	InputEvent	SelectionChanged 255 255

1647340350137	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 255 7 0

1647340350140	PolyGesture	InputEvent	SelectionChanged 255 255

1647340350153	PolyGesture	InputEvent	BeginBatchEdit

1647340350159	PolyGesture	InputEvent	BeginBatchEdit

1647340350159	PolyGesture	InputEvent	BeginBatchEdit

1647340350167	PolyGesture	InputEvent	BeginBatchEdit

1647340350169	PolyGesture	InputEvent	BeginBatchEdit

1647340350170	PolyGesture	InputEvent	BeginBatchEdit

1647340350172	PolyGesture	InputEvent	BeginBatchEdit

1647340350373	PolyGesture	InputEvent	BeginBatchEdit

1647340350940	PolyGesture	InputEvent	TouchEvent (cursorPosition=255): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=185.0, y[0]=385.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422340130, downTime=422340130, deviceId=6, source=0x1002, displayId=0 }
1647340350992	PolyGesture	InputEvent	TouchEvent (cursorPosition=255): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=185.0, y[0]=385.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422340192, downTime=422340130, deviceId=6, source=0x1002, displayId=0 }
1647340351000	PolyGesture	InputEvent	SelectionChanged 444 444

1647340351026	PolyGesture	InputEvent	BeginBatchEdit

1647340351060	PolyGesture	InputEvent	BeginBatchEdit

1647340351252	PolyGesture	InputEvent	BeginBatchEdit

1647340351804	PolyGesture	InputEvent	TouchEvent (cursorPosition=444): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=193.0, y[0]=380.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422340995, downTime=422340995, deviceId=6, source=0x1002, displayId=0 }
1647340351863	PolyGesture	InputEvent	TouchEvent (cursorPosition=444): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=193.0, y[0]=380.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422341063, downTime=422340995, deviceId=6, source=0x1002, displayId=0 }
1647340351881	PolyGesture	InputEvent	SelectionChanged 445 445

1647340351905	PolyGesture	InputEvent	BeginBatchEdit

1647340351940	PolyGesture	InputEvent	BeginBatchEdit

1647340352132	PolyGesture	InputEvent	BeginBatchEdit

1647340352683	PolyGesture	InputEvent	SelectionChanged 445 444

1647340352697	PolyGesture	InputEvent	BeginBatchEdit

1647340352702	PolyGesture	InputEvent	BeginBatchEdit

1647340352821	PolyGesture	InputEvent	SelectionChanged 445 443

1647340352833	PolyGesture	InputEvent	BeginBatchEdit

1647340352837	PolyGesture	InputEvent	BeginBatchEdit

1647340352967	PolyGesture	InputEvent	SelectionChanged 445 442

1647340352989	PolyGesture	InputEvent	BeginBatchEdit

1647340352993	PolyGesture	InputEvent	BeginBatchEdit

1647340353086	PolyGesture	InputEvent	SelectionChanged 445 441

1647340353101	PolyGesture	InputEvent	BeginBatchEdit

1647340353105	PolyGesture	InputEvent	BeginBatchEdit

1647340353289	PolyGesture	InputEvent	SelectionChanged 445 440

1647340353302	PolyGesture	InputEvent	BeginBatchEdit

1647340353305	PolyGesture	InputEvent	BeginBatchEdit

1647340353451	PolyGesture	InputEvent	SelectionChanged 445 439

1647340353469	PolyGesture	InputEvent	BeginBatchEdit

1647340353473	PolyGesture	InputEvent	BeginBatchEdit

1647340353675	PolyGesture	InputEvent	BeginBatchEdit

1647340354231	PolyGesture	InputEvent	BeginBatchEdit

1647340354232	PolyGesture	InputEvent	SelectionChanged 445 445

1647340354240	PolyGesture	InputEvent	SelectionChanged 0 0

1647340354243	PolyGesture	TaskCompleted	Cancella parola in 13"844 seconds (at 422343443, effective time: 11"305)

***************************************


1647340354253	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little  village where he had been so often lately was that no one knew who he was.' 0 514 514

1647340354258	PolyGesture	InputEvent	SelectionChanged 439 439

1647340354258	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little  village where he had been so often lately was that no one knew who he was.' 439 6 0

1647340354262	PolyGesture	InputEvent	SelectionChanged 439 439

1647340354275	PolyGesture	InputEvent	BeginBatchEdit

1647340354317	PolyGesture	InputEvent	BeginBatchEdit

1647340354318	PolyGesture	InputEvent	BeginBatchEdit

