1647343540805	PolyGesture	ExperimentStarted	vincenzo
1647343559686	PolyGesture	InputEvent	BeginBatchEdit

1647343559892	PolyGesture	InputEvent	BeginBatchEdit

1647343560279	PolyGesture	InputEvent	SelectionChanged 132 132

1647343560294	PolyGesture	InputEvent	BeginBatchEdit

1647343560305	PolyGesture	InputEvent	BeginBatchEdit

1647343560506	PolyGesture	InputEvent	BeginBatchEdit

1647343560937	PolyGesture	InputEvent	BeginBatchEdit

1647343560958	PolyGesture	InputEvent	SelectionChanged 0 0

1647343560961	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647343560967	PolyGesture	InputEvent	SelectionChanged 131 131

1647343560968	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647343560972	PolyGesture	InputEvent	SelectionChanged 131 131

1647343560982	PolyGesture	InputEvent	BeginBatchEdit

1647343560987	PolyGesture	InputEvent	BeginBatchEdit

1647343560987	PolyGesture	InputEvent	BeginBatchEdit

1647343560993	PolyGesture	InputEvent	BeginBatchEdit

1647343560996	PolyGesture	InputEvent	BeginBatchEdit

1647343560996	PolyGesture	InputEvent	BeginBatchEdit

1647343560999	PolyGesture	InputEvent	BeginBatchEdit

1647343561200	PolyGesture	InputEvent	BeginBatchEdit

1647343561454	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=954.0, y[0]=388.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425431136, downTime=425431136, deviceId=6, source=0x1002, displayId=0 }
1647343561493	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=954.0, y[0]=388.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425431178, downTime=425431136, deviceId=6, source=0x1002, displayId=0 }
1647343561500	PolyGesture	InputEvent	SelectionChanged 359 359

1647343561526	PolyGesture	InputEvent	BeginBatchEdit

1647343561559	PolyGesture	InputEvent	BeginBatchEdit

1647343561751	PolyGesture	InputEvent	BeginBatchEdit

1647343562248	PolyGesture	InputEvent	SelectionChanged 312 312

1647343562266	PolyGesture	InputEvent	BeginBatchEdit

1647343562276	PolyGesture	InputEvent	BeginBatchEdit

1647343562477	PolyGesture	InputEvent	BeginBatchEdit

1647343563032	PolyGesture	InputEvent	BeginBatchEdit

1647343563058	PolyGesture	InputEvent	SelectionChanged 0 0

1647343563060	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647343563067	PolyGesture	InputEvent	SelectionChanged 311 311

1647343563068	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647343563072	PolyGesture	InputEvent	SelectionChanged 311 311

1647343563083	PolyGesture	InputEvent	BeginBatchEdit

1647343563089	PolyGesture	InputEvent	BeginBatchEdit

1647343563089	PolyGesture	InputEvent	BeginBatchEdit

1647343563097	PolyGesture	InputEvent	BeginBatchEdit

1647343563100	PolyGesture	InputEvent	BeginBatchEdit

1647343563102	PolyGesture	InputEvent	BeginBatchEdit

1647343563105	PolyGesture	InputEvent	BeginBatchEdit

1647343563305	PolyGesture	InputEvent	BeginBatchEdit

1647343563500	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=668.0, y[0]=518.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425433174, downTime=425433174, deviceId=6, source=0x1002, displayId=0 }
1647343563558	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=668.0, y[0]=518.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425433243, downTime=425433174, deviceId=6, source=0x1002, displayId=0 }
1647343563565	PolyGesture	InputEvent	SelectionChanged 436 436

1647343563588	PolyGesture	InputEvent	BeginBatchEdit

1647343563620	PolyGesture	InputEvent	BeginBatchEdit

1647343563823	PolyGesture	InputEvent	BeginBatchEdit

1647343564499	PolyGesture	InputEvent	BeginBatchEdit

1647343564525	PolyGesture	InputEvent	SelectionChanged 0 0

1647343564528	PolyGesture	TaskCompleted	Cancella carattere in 9"365 seconds (at 425434213, effective time: 6"585)

***************************************


1647343564541	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647343564550	PolyGesture	InputEvent	SelectionChanged 435 435

1647343564551	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647343564556	PolyGesture	InputEvent	SelectionChanged 435 435

1647343564569	PolyGesture	InputEvent	BeginBatchEdit

1647343564616	PolyGesture	InputEvent	BeginBatchEdit

1647343564617	PolyGesture	InputEvent	BeginBatchEdit

1647343564617	PolyGesture	InputEvent	BeginBatchEdit

1647343564619	PolyGesture	InputEvent	BeginBatchEdit

1647343564623	PolyGesture	InputEvent	BeginBatchEdit

1647343564628	PolyGesture	InputEvent	BeginBatchEdit

1647343564829	PolyGesture	InputEvent	BeginBatchEdit

1647343565855	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=425435535, downTime=425435535, deviceId=-1, source=0x101, displayId=0 }

1647343565858	PolyGesture	InputEvent	BeginBatchEdit

1647343565897	PolyGesture	InputEvent	WindowFocusChanged false

1647343565947	PolyGesture	InputEvent	BeginBatchEdit

1647343565947	PolyGesture	InputEvent	BeginBatchEdit

1647343568707	PolyGesture	InputEvent	SelectionChanged 0 0

1647343568707	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647343568760	PolyGesture	InputEvent	SelectionChanged 0 0

1647343568761	PolyGesture	InputEvent	SelectionChanged 0 0

1647343568761	PolyGesture	TaskStarted	Cancella parola

1647343568762	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647343568766	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647343568770	PolyGesture	InputEvent	SelectionChanged 534 534

1647343568787	PolyGesture	InputEvent	FocusChanged true 130 null

1647343568809	PolyGesture	InputEvent	WindowFocusChanged true

1647343569840	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=178.0, y[0]=176.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425439524, downTime=425439524, deviceId=6, source=0x1002, displayId=0 }
1647343569873	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=178.0, y[0]=176.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425439558, downTime=425439524, deviceId=6, source=0x1002, displayId=0 }
1647343569881	PolyGesture	InputEvent	SelectionChanged 148 148

1647343569912	PolyGesture	InputEvent	BeginBatchEdit

1647343569912	PolyGesture	InputEvent	BeginBatchEdit

1647343569924	PolyGesture	InputEvent	BeginBatchEdit

1647343569933	PolyGesture	InputEvent	BeginBatchEdit

1647343570144	PolyGesture	InputEvent	BeginBatchEdit

1647343570613	PolyGesture	InputEvent	SelectionChanged 103 103

1647343570633	PolyGesture	InputEvent	BeginBatchEdit

1647343570645	PolyGesture	InputEvent	BeginBatchEdit

1647343570847	PolyGesture	InputEvent	BeginBatchEdit

1647343571524	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=339.0, y[0]=179.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425441199, downTime=425441199, deviceId=6, source=0x1002, displayId=0 }
1647343571561	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=339.0, y[0]=179.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425441247, downTime=425441199, deviceId=6, source=0x1002, displayId=0 }
1647343571579	PolyGesture	InputEvent	SelectionChanged 155 155

1647343571581	PolyGesture	InputEvent	SelectionChanged 103 155

1647343571600	PolyGesture	InputEvent	BeginBatchEdit

1647343571603	PolyGesture	InputEvent	BeginBatchEdit

1647343571604	PolyGesture	InputEvent	BeginBatchEdit

1647343571606	PolyGesture	InputEvent	BeginBatchEdit

1647343571807	PolyGesture	InputEvent	BeginBatchEdit

1647343572288	PolyGesture	InputEvent	SelectionChanged 103 109

1647343572302	PolyGesture	InputEvent	BeginBatchEdit

1647343572304	PolyGesture	InputEvent	BeginBatchEdit

1647343572507	PolyGesture	InputEvent	BeginBatchEdit

1647343573300	PolyGesture	InputEvent	BeginBatchEdit

1647343573301	PolyGesture	InputEvent	SelectionChanged 109 109

1647343573309	PolyGesture	InputEvent	SelectionChanged 0 0

1647343573312	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1647343573317	PolyGesture	InputEvent	SelectionChanged 103 103

1647343573318	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1647343573322	PolyGesture	InputEvent	SelectionChanged 103 103

1647343573337	PolyGesture	InputEvent	BeginBatchEdit

1647343573342	PolyGesture	InputEvent	BeginBatchEdit

1647343573343	PolyGesture	InputEvent	BeginBatchEdit

1647343573350	PolyGesture	InputEvent	BeginBatchEdit

1647343573352	PolyGesture	InputEvent	BeginBatchEdit

1647343573356	PolyGesture	InputEvent	BeginBatchEdit

1647343573358	PolyGesture	InputEvent	BeginBatchEdit

1647343573559	PolyGesture	InputEvent	BeginBatchEdit

1647343573865	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=696.0, y[0]=326.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425443542, downTime=425443542, deviceId=6, source=0x1002, displayId=0 }
1647343573904	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=696.0, y[0]=326.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425443590, downTime=425443542, deviceId=6, source=0x1002, displayId=0 }
1647343573912	PolyGesture	InputEvent	SelectionChanged 257 257

1647343573939	PolyGesture	InputEvent	BeginBatchEdit

1647343573972	PolyGesture	InputEvent	BeginBatchEdit

1647343574175	PolyGesture	InputEvent	BeginBatchEdit

1647343574997	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=856.0, y[0]=316.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425444672, downTime=425444672, deviceId=6, source=0x1002, displayId=0 }
1647343575055	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=856.0, y[0]=316.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425444741, downTime=425444672, deviceId=6, source=0x1002, displayId=0 }
1647343575075	PolyGesture	InputEvent	SelectionChanged 263 263

1647343575077	PolyGesture	InputEvent	SelectionChanged 257 263

1647343575092	PolyGesture	InputEvent	BeginBatchEdit

1647343575096	PolyGesture	InputEvent	BeginBatchEdit

1647343575096	PolyGesture	InputEvent	BeginBatchEdit

1647343575098	PolyGesture	InputEvent	BeginBatchEdit

1647343575302	PolyGesture	InputEvent	BeginBatchEdit

1647343575890	PolyGesture	InputEvent	BeginBatchEdit

1647343575891	PolyGesture	InputEvent	SelectionChanged 263 263

1647343575901	PolyGesture	InputEvent	SelectionChanged 0 0

1647343575903	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1647343575910	PolyGesture	InputEvent	SelectionChanged 257 257

1647343575911	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1647343575915	PolyGesture	InputEvent	SelectionChanged 257 257

1647343575929	PolyGesture	InputEvent	BeginBatchEdit

1647343575935	PolyGesture	InputEvent	BeginBatchEdit

1647343575935	PolyGesture	InputEvent	BeginBatchEdit

1647343575944	PolyGesture	InputEvent	BeginBatchEdit

1647343575946	PolyGesture	InputEvent	BeginBatchEdit

1647343575948	PolyGesture	InputEvent	BeginBatchEdit

1647343575950	PolyGesture	InputEvent	BeginBatchEdit

1647343576152	PolyGesture	InputEvent	BeginBatchEdit

1647343576708	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=706.0, y[0]=541.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425446383, downTime=425446383, deviceId=6, source=0x1002, displayId=0 }
1647343576766	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=706.0, y[0]=541.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425446451, downTime=425446383, deviceId=6, source=0x1002, displayId=0 }
1647343576774	PolyGesture	InputEvent	SelectionChanged 441 441

1647343576800	PolyGesture	InputEvent	BeginBatchEdit

1647343576856	PolyGesture	InputEvent	BeginBatchEdit

1647343577046	PolyGesture	InputEvent	BeginBatchEdit

1647343577720	PolyGesture	InputEvent	TouchEvent (cursorPosition=441): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=839.0, y[0]=546.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425447395, downTime=425447395, deviceId=6, source=0x1002, displayId=0 }
1647343577771	PolyGesture	InputEvent	TouchEvent (cursorPosition=441): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=839.0, y[0]=546.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425447456, downTime=425447395, deviceId=6, source=0x1002, displayId=0 }
1647343577791	PolyGesture	InputEvent	SelectionChanged 446 446

1647343577792	PolyGesture	InputEvent	SelectionChanged 441 446

1647343577808	PolyGesture	InputEvent	BeginBatchEdit

1647343577812	PolyGesture	InputEvent	BeginBatchEdit

1647343577813	PolyGesture	InputEvent	BeginBatchEdit

1647343577816	PolyGesture	InputEvent	BeginBatchEdit

1647343578018	PolyGesture	InputEvent	BeginBatchEdit

1647343578483	PolyGesture	InputEvent	SelectionChanged 441 447

1647343578506	PolyGesture	InputEvent	BeginBatchEdit

1647343578510	PolyGesture	InputEvent	BeginBatchEdit

1647343578712	PolyGesture	InputEvent	BeginBatchEdit

1647343579106	PolyGesture	InputEvent	BeginBatchEdit

1647343579107	PolyGesture	InputEvent	SelectionChanged 447 447

1647343579112	PolyGesture	InputEvent	SelectionChanged 0 0

1647343579115	PolyGesture	TaskCompleted	Cancella parola in 10"353 seconds (at 425448800, effective time: 9"276)

***************************************


1647343579123	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little  village where he had been so often lately was that no one knew who he was.' 0 516 516

1647343579131	PolyGesture	InputEvent	SelectionChanged 441 441

1647343579132	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little  village where he had been so often lately was that no one knew who he was.' 441 6 0

1647343579137	PolyGesture	InputEvent	SelectionChanged 441 441

1647343579150	PolyGesture	InputEvent	BeginBatchEdit

1647343579196	PolyGesture	InputEvent	BeginBatchEdit

1647343579196	PolyGesture	InputEvent	BeginBatchEdit

1647343579198	PolyGesture	InputEvent	BeginBatchEdit

1647343579202	PolyGesture	InputEvent	BeginBatchEdit

1647343579205	PolyGesture	InputEvent	BeginBatchEdit

1647343579210	PolyGesture	InputEvent	BeginBatchEdit

1647343579411	PolyGesture	InputEvent	BeginBatchEdit

1647343580902	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=425450583, downTime=425450583, deviceId=-1, source=0x101, displayId=0 }

1647343580905	PolyGesture	InputEvent	BeginBatchEdit

1647343580945	PolyGesture	InputEvent	WindowFocusChanged false

1647343580976	PolyGesture	InputEvent	BeginBatchEdit

1647343580977	PolyGesture	InputEvent	BeginBatchEdit

1647343582550	PolyGesture	InputEvent	SelectionChanged 0 0

1647343582551	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647343582635	PolyGesture	InputEvent	SelectionChanged 0 0

1647343582635	PolyGesture	InputEvent	SelectionChanged 0 0

1647343582636	PolyGesture	TaskStarted	Cancella frase

1647343582636	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he XXXXX XXXXX strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
